Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,CHLA_N,F_CHLA_N,TSS,F_TSS
lksblnut,4/19/2016 8:46,1,2,,0.01,<-4> [SBL],0.084,<1> (CSM),0.016,<1> (CSM),0.129,<1> (CSM),0.145,0,0.229,<1> (CSM),2.7,0,10,0
lksolnut,4/19/2016 9:25,1,1,,0.01,<-4> [SBL],0.04,<-4> [SBL] (CSM),0.016,<1> (CSM),0.118,<1> (CSM),0.134,0,,<-4> [SCB] (CSM),2.6,0,8,0
lksolnut,4/19/2016 9:26,1,2,,0.01,<-4> [SBL],0.04,<-4> [SBL] (CSM),0.014,<1> (CSM),0.108,<1> (CSM),0.122,0,,<-4> [SCB] (CSM),2.7,0,8,0
lksponut,4/19/2016 9:58,1,1,,0.013,0,0.04,<-4> [SBL] (CSM),0.016,<1> (CSM),0.110,<1> (CSM),0.126,0,,<-4> [SCB] (CSM),7.2,0,47,0
lksponut,4/19/2016 9:59,1,2,,0.015,0,0.04,<-4> [SBL] (CSM),0.015,<1> (CSM),0.109,<1> (CSM),0.124,0,,<-4> [SCB] (CSM),6.8,0,43,0
lksbanut,4/19/2016 11:21,1,1,,0.01,<-4> [SBL],0.108,<1> (CSM),0.017,<1> (CSM),0.185,<1> (CSM),0.202,0,0.31,<1> (CSM),16.5,0,7,0
lksbanut,4/19/2016 11:23,1,2,,0.01,<-4> [SBL],0.105,<1> (CSM),0.017,<1> (CSM),0.189,<1> (CSM),0.206,0,0.311,<1> (CSM),16.9,0,8,0
lksbanut,5/23/2016 10:00,2,1,,0.01,<-4> [SBL],0.078,<-3> (CSM),0.045,0,0.223,0,0.268,0,0.346,<-3> [GCR] (CSM),8.5,0,7,0
lksbanut,5/23/2016 12:00,2,1,,0.01,<-4> [SBL],0.078,<-3> (CSM),0.043,0,0.226,0,0.269,0,0.347,<-3> [GCR] (CSM),6.3,0,9,0
lksbanut,5/23/2016 14:00,2,1,,0.01,<-4> [SBL],0.072,<-3> (CSM),0.043,0,0.211,0,0.254,0,0.326,<-3> [GCR] (CSM),10.4,0,8,0
lksbanut,5/23/2016 16:00,2,1,,0.01,<-4> [SBL],0.088,<-3> (CSM),0.054,0,0.222,0,0.276,0,0.364,<-3> [GCR] (CSM),10.6,0,9,0
lksbanut,5/23/2016 18:00,2,1,,0.01,<-4> [SBL],0.097,<-3> (CSM),0.060,0,0.211,0,0.271,0,0.368,<-3> [GCR] (CSM),8.7,0,9,0
lksbanut,5/23/2016 20:00,2,1,,0.01,<-4> [SBL],0.087,<-3> (CSM),0.054,0,0.223,0,0.277,0,0.364,<-3> [GCR] (CSM),9.5,0,8,0
lksbanut,5/23/2016 22:00,2,1,,0.01,<-4> [SBL],0.109,<-3> (CSM),0.057,0,0.219,0,0.276,0,0.385,<-3> [GCR] (CSM),9.8,0,8,0
lksbanut,5/24/2016 0:00,2,1,,0.01,<-4> [SBL],0.108,<-3> (CSM),0.055,0,0.219,0,0.274,0,0.382,<-3> [GCR] (CSM),8.5,0,7,0
lksbanut,5/24/2016 2:00,2,1,,0.01,<-4> [SBL],0.096,<-3> (CSM),0.052,0,0.214,0,0.266,0,0.362,<-3> [GCR] (CSM),9,0,7,0
lksbanut,5/24/2016 4:00,2,1,,0.01,<-4> [SBL],0.100,<-3> (CSM),0.048,0,0.217,0,0.265,0,0.365,<-3> [GCR] (CSM),8.2,0,7,0
lksbanut,5/24/2016 6:00,2,1,,0.01,<-4> [SBL],0.090,<-3> (CSM),0.047,0,0.217,0,0.264,0,0.354,<-3> [GCR] (CSM),8.2,0,9,0
lksbanut,5/24/2016 8:00,2,1,,0.01,<-4> [SBL],0.090,<-3> (CSM),0.043,0,0.224,0,0.267,0,0.357,<-3> [GCR] (CSM),7.7,0,12,0
lksolnut,5/24/2016 9:21,1,1,,0.01,<-4> [SBL],0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.064,0,0.104,<-3> [GCR] (CSM),6.7,0,7,0
lksolnut,5/24/2016 9:24,1,2,,0.01,<-4> [SBL],0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.058,0,0.098,<-3> [GCR] (CSM),7.3,0,7,0
lksponut,5/24/2016 10:05,1,1,,0.035,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.030,0,0.07,<-3> [GCR] (CSM),8.3,0,19,0
lksponut,5/24/2016 10:09,1,2,,0.040,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.030,0,0.07,<-3> [GCR] (CSM),6.1,0,18,0
lksblnut,5/24/2016 10:48,1,1,,0.01,<-4> [SBL],0.135,<-3> (CSM),0.010,0,0.174,0,0.184,0,0.319,<-3> [GCR] (CSM),6.6,0,4,0
lksblnut,5/24/2016 10:51,1,2,,0.01,<-4> [SBL],0.107,<-3> (CSM),0.010,<1> (CSM),0.170,<1> (CSM),0.180,0,0.287,<-3> [GCR] (CSM),6.2,0,3,0
lksbanut,5/24/2016 11:11,1,1,,0.01,<-4> [SBL],0.094,<-3> (CSM),0.042,0,0.214,0,0.256,0,0.35,<-3> [GCR] (CSM),8.6,0,13,0
lksbanut,5/24/2016 11:14,1,2,,0.01,<-4> [SBL],0.098,<-3> (CSM),0.044,0,0.253,0,0.297,0,0.395,<-3> [GCR] (CSM),9.4,0,11,0
lksbanut,6/20/2016 10:00,2,1,,0.01,<-4> [SBL],0.058,<1> (CSM),0.020,<1> (CSM),0.185,<1> (CSM),0.205,0,0.263,<1> (CSM),16.9,0,15,0
lksbanut,6/20/2016 12:00,2,1,,0.01,<-4> [SBL],0.061,<1> (CSM),0.020,<1> (CSM),0.190,<1> (CSM),0.210,0,0.271,<1> (CSM),15.1,0,14,0
lksbanut,6/20/2016 14:00,2,1,,0.01,<-4> [SBL],0.046,<1> (CSM),0.019,<1> (CSM),0.192,<1> (CSM),0.211,0,0.257,<1> (CSM),18.7,0,11,0
lksbanut,6/20/2016 16:00,2,1,,0.01,<-4> [SBL],0.072,<1> (CSM),0.020,<1> (CSM),0.190,<1> (CSM),0.210,0,0.282,<1> (CSM),19.1,0,14,0
lksbanut,6/20/2016 18:00,2,1,,0.01,<-4> [SBL],0.044,<1> (CSM),0.020,<1> (CSM),0.190,<1> (CSM),0.210,0,0.254,<1> (CSM),17.2,0,16,0
lksbanut,6/20/2016 20:00,2,1,,0.01,<-4> [SBL],0.04,<-4> [SBL] (CSM),0.020,<1> (CSM),0.195,<1> (CSM),0.215,0,,<-4> [SCB] (CSM),15.1,0,11,0
lksbanut,6/20/2016 22:00,2,1,,0.01,<-4> [SBL],0.04,<-4> [SBL] (CSM),0.019,<1> (CSM),0.196,<1> (CSM),0.215,0,,<-4> [SCB] (CSM),18.3,0,13,0
lksbanut,6/21/2016 0:00,2,1,,0.01,<-4> [SBL],0.048,<1> (CSM),0.020,<1> (CSM),0.194,<1> (CSM),0.214,0,0.262,<1> (CSM),15.7,0,12,0
lksbanut,6/21/2016 2:00,2,1,,0.01,<-4> [SBL],0.064,<1> (CSM),0.021,<1> (CSM),0.186,<1> (CSM),0.207,0,0.271,<1> (CSM),15.2,0,13,0
lksbanut,6/21/2016 4:00,2,1,,0.01,<-4> [SBL],0.064,<1> (CSM),0.020,<1> (CSM),0.188,<1> (CSM),0.208,0,0.272,<1> (CSM),14.5,0,10,0
lksbanut,6/21/2016 6:00,2,1,,0.01,<-4> [SBL],0.059,<1> (CSM),0.020,<1> (CSM),0.188,<1> (CSM),0.208,0,0.267,<1> (CSM),14.8,0,11,0
lksbanut,6/21/2016 8:00,2,1,,0.01,<-4> [SBL],0.069,<1> (CSM),0.021,<1> (CSM),0.191,<1> (CSM),0.212,0,0.281,<1> (CSM),15.6,0,9,0
lksolnut,6/21/2016 9:04,1,1,,0.013,0,0.04,<-4> [SBL] (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.114,0,,<-4> [SCB] (CSM),3.7,0,10,0
lksolnut,6/21/2016 9:06,1,2,,0.012,0,0.04,<-4> [SBL] (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.113,0,,<-4> [SCB] (CSM),3.9,0,9,0
lksponut,6/21/2016 9:40,1,1,,0.018,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.039,0,0.079,<-3> [GCR] (CSM),1.9,0,106,0
lksponut,6/21/2016 9:43,1,2,,0.017,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.031,0,0.071,<-3> [GCR] (CSM),2.1,0,110,0
lksblnut,6/21/2016 10:32,1,1,,0.011,0,0.052,<-3> (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.183,0,0.235,<-3> [GCR] (CSM),6.2,0,10,0
lksblnut,6/21/2016 10:35,1,2,,0.010,0,0.057,<-3> (CSM),0.01,<-4> [SBL] (CSM),,<-4> [SCB] (CSM),0.182,0,0.239,<-3> [GCR] (CSM),6,0,11,0
lksbanut,6/21/2016 10:48,1,1,,0.01,<-4> [SBL],0.130,<-3> (CSM),0.020,<1> (CSM),0.182,<1> (CSM),0.202,0,0.332,<-3> [GCR] (CSM),14.8,0,9,0
lksbanut,6/21/2016 10:52,1,2,,0.01,<-4> [SBL],0.083,<-3> (CSM),0.020,<1> (CSM),0.194,<1> (CSM),0.214,0,0.297,<-3> [GCR] (CSM),15.2,0,11,0
lksbanut,7/12/2016 10:00,2,1,,0.023,0,0.066,<-3> (CSM),0.036,0,0.223,0,0.259,0,0.325,<-3> [GCR] (CSM),3.5,0,25,0
lksbanut,7/12/2016 12:00,2,1,,0.022,0,0.059,<-3> (CSM),0.033,0,0.221,0,0.254,0,0.313,<-3> [GCR] (CSM),3.1,0,19,0
lksbanut,7/12/2016 14:00,2,1,,0.023,0,0.068,<-3> (CSM),0.034,0,0.212,0,0.246,0,0.314,<-3> [GCR] (CSM),3.5,0,21,0
lksbanut,7/12/2016 16:00,2,1,,0.022,0,0.061,<-3> (CSM),0.032,0,0.211,0,0.243,0,0.304,<-3> [GCR] (CSM),3.7,0,14,0
lksbanut,7/12/2016 18:00,2,1,,0.022,0,0.068,<-3> (CSM),0.032,0,0.210,0,0.242,0,0.31,<-3> [GCR] (CSM),3.3,0,19,0
lksbanut,7/12/2016 20:00,2,1,,0.024,0,0.070,<-3> (CSM),0.030,0,0.214,0,0.244,0,0.314,<-3> [GCR] (CSM),3.7,0,17,0
lksbanut,7/12/2016 22:00,2,1,,0.024,0,0.070,<-3> (CSM),0.029,0,0.210,0,0.239,0,0.309,<-3> [GCR] (CSM),2.6,0,15,0
lksbanut,7/13/2016 0:00,2,1,,0.024,0,0.085,<-3> (CSM),0.029,0,0.234,0,0.263,0,0.348,<-3> [GCR] (CSM),3,0,13,0
lksbanut,7/13/2016 2:00,2,1,,0.026,0,0.072,<-3> (CSM),0.028,0,0.213,0,0.241,0,0.313,<-3> [GCR] (CSM),2.5,0,14,0
lksbanut,7/13/2016 4:00,2,1,,0.026,0,0.077,<-3> (CSM),0.030,0,0.212,0,0.242,0,0.319,<-3> [GCR] (CSM),2.7,0,15,0
lksbanut,7/13/2016 6:00,2,1,,0.027,0,0.077,<-3> (CSM),0.030,0,0.207,0,0.237,0,0.314,<-3> [GCR] (CSM),2.4,0,15,0
lksbanut,7/13/2016 8:00,2,1,,0.025,0,0.077,<-3> (CSM),0.029,0,0.202,0,0.231,0,0.308,<-3> [GCR] (CSM),2.9,0,17,0
lksolnut,7/13/2016 9:15,1,1,,0.016,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.154,0,0.194,<-3> [GCR] (CSM),3.7,0,27,0
lksolnut,7/13/2016 9:16,1,2,,0.016,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.155,0,0.195,<-3> [GCR] (CSM),3.6,0,27,0
lksponut,7/13/2016 9:49,1,1,,0.013,0,0.04,<-3> [SBL] (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.033,0,0.073,<-3> [GCR] (CSM),1.4,0,130,0
lksponut,7/13/2016 9:50,1,2,,0.013,0,0.054,<-3> (CSM),0.01,<-4> [SBL],,<-4> [SCB],0.032,0,0.086,<-3> [GCR] (CSM),1.2,0,124,0
lksblnut,7/13/2016 10:38,1,1,,0.021,0,0.131,<-3> (CSM),0.014,0,0.132,0,0.146,0,0.277,<-3> [GCR] (CSM),2.8,0,17,0
lksblnut,7/13/2016 10:40,1,2,,0.020,0,0.131,<-3> (CSM),0.012,0,0.133,0,0.145,0,0.276,<-3> [GCR] (CSM),3,0,17,0
lksbanut,7/13/2016 10:58,1,1,,0.023,0,0.107,<-3> (CSM),0.029,0,0.208,0,0.237,0,0.344,<-3> [GCR] (CSM),2.7,0,13,0
lksbanut,7/13/2016 10:59,1,2,,0.027,0,0.100,<-3> (CSM),0.031,0,0.203,0,0.234,0,0.334,<-3> [GCR] (CSM),2.5,0,14,0
lksolnut,8/23/2016 9:24,1,1,,0.014,0,0.007,0,,<-2> [GDM],,<-2> [GCM],0.101,0,0.108,,6.9,0,13,0
lksolnut,8/23/2016 9:25,1,2,,0.014,0,0.004,0,,<-2> [GDM],,<-2> [GCM],0.091,0,0.095,,6.8,0,11,0
lksponut,8/23/2016 9:57,1,1,,0.034,0,0.005,0,,<-2> [GDM],,<-2> [GCM],0.004,0,0.009,,17.2,0,3,0
lksponut,8/23/2016 10:00,1,2,,0.030,0,0.010,0,,<-2> [GDM],,<-2> [GCM],0.009,0,0.019,,15.4,0,4,0
lksblnut,8/23/2016 10:38,1,1,,0.022,0,0.131,0,,<-2> [GDM],,<-2> [GCM],0.236,0,0.367,,4.8,0,15,<1> [SRD]
lksblnut,8/23/2016 10:40,1,2,,0.024,0,0.138,0,,<-2> [GDM],,<-2> [GCM],0.237,0,0.375,,4.6,0,9,<1> [SRD]
lksbanut,8/23/2016 11:04,1,1,,0.027,0,0.060,0,,<-2> [GDM],,<-2> [GCM],0.331,0,0.391,,6,0,6,0
lksbanut,8/23/2016 11:06,1,2,,0.027,0,0.048,0,,<-2> [GDM],,<-2> [GCM],0.331,0,0.379,,5.6,0,6,0
lksbanut,8/23/2016 12:00,2,1,,0.023,0,0.063,0,,<-2> [GDM],,<-2> [GCM],0.354,0,0.417,,4.2,0,4,0
lksbanut,8/23/2016 14:00,2,1,,0.023,0,0.051,0,,<-2> [GDM],,<-2> [GCM],0.353,0,0.404,,7,0,4,0
lksbanut,8/23/2016 16:00,2,1,,0.020,0,0.044,0,,<-2> [GDM],,<-2> [GCM],0.374,0,0.418,,6.8,0,6,0
lksbanut,8/23/2016 18:00,2,1,,0.025,0,0.055,0,,<-2> [GDM],,<-2> [GCM],0.348,0,0.403,,5.7,0,5,0
lksbanut,8/23/2016 20:00,2,1,,0.024,0,0.070,0,,<-2> [GDM],,<-2> [GCM],0.342,0,0.412,,5.7,0,7,0
lksbanut,8/23/2016 22:00,2,1,,0.027,0,0.065,0,,<-2> [GDM],,<-2> [GCM],0.336,0,0.401,,6.7,0,6,0
lksbanut,8/24/2016 0:00,2,1,,0.028,0,0.067,0,,<-2> [GDM],,<-2> [GCM],0.350,0,0.417,,5.2,0,7,0
lksbanut,8/24/2016 2:00,2,1,,0.028,0,0.035,0,,<-2> [GDM],,<-2> [GCM],0.362,0,0.397,,4.8,0,6,0
lksbanut,8/24/2016 4:00,2,1,,0.027,0,0.058,0,,<-2> [GDM],,<-2> [GCM],0.346,0,0.404,,4.7,0,4,0
lksbanut,8/24/2016 6:00,2,1,,0.026,0,0.063,0,,<-2> [GDM],,<-2> [GCM],0.340,0,0.403,,4.8,0,5,0
lksbanut,8/24/2016 8:00,2,1,,0.028,0,0.101,0,,<-2> [GDM],,<-2> [GCM],0.338,0,0.439,,4.8,0,6,0
lksbanut,8/24/2016 10:00,2,1,,0.026,0,0.063,0,,<-2> [GDM],,<-2> [GCM],0.342,0,0.405,,5.5,0,5,0
lksbanut,9/19/2016 11:00,2,1,,0.011,0,0.035,0,,<-2> [GDM],,<-2> [GCM],0.239,0,0.274,,11.9,0,8,0
lksbanut,9/19/2016 13:00,2,1,,0.013,0,0.045,0,,<-2> [GDM],,<-2> [GCM],0.247,0,0.292,,10.9,0,11,0
lksbanut,9/19/2016 15:00,2,1,,0.011,0,0.036,0,,<-2> [GDM],,<-2> [GCM],0.235,0,0.271,,11.5,0,7,0
lksbanut,9/19/2016 17:00,2,1,,0.010,0,0.037,0,,<-2> [GDM],,<-2> [GCM],0.235,0,0.272,,11.7,0,6,0
lksbanut,9/19/2016 19:00,2,1,,0.011,0,0.039,0,,<-2> [GDM],,<-2> [GCM],0.241,0,0.28,,12.5,0,8,0
lksbanut,9/19/2016 21:00,2,1,,0.009,0,0.025,0,,<-2> [GDM],,<-2> [GCM],0.229,0,0.254,,13.4,0,10,0
lksbanut,9/19/2016 23:00,2,1,,0.009,0,0.018,0,,<-2> [GDM],,<-2> [GCM],0.226,0,0.244,,15.6,0,6,0
lksbanut,9/20/2016 1:00,2,1,,0.007,0,0.016,0,,<-2> [GDM],,<-2> [GCM],0.220,0,0.236,,15.3,0,11,0
lksbanut,9/20/2016 3:00,2,1,,0.008,0,0.011,0,,<-2> [GDM],,<-2> [GCM],0.217,0,0.228,,14.8,0,11,0
lksbanut,9/20/2016 5:00,2,1,,0.009,0,0.018,0,,<-2> [GDM],,<-2> [GCM],0.224,0,0.242,,14.2,0,9,0
lksbanut,9/20/2016 7:00,2,1,,0.009,0,0.018,0,,<-2> [GDM],,<-2> [GCM],0.220,0,0.238,,13.6,0,5,0
lksbanut,9/20/2016 9:00,2,1,,0.009,0,0.030,0,,<-2> [GDM],,<-2> [GCM],0.235,0,0.265,,13.6,0,6,0
lksolnut,9/20/2016 9:05,1,1,,0.012,0,0.015,0,,<-2> [GDM],,<-2> [GCM],0.101,0,0.116,,10.8,0,6,0
lksolnut,9/20/2016 9:06,1,2,,0.012,0,0.012,0,,<-2> [GDM],,<-2> [GCM],0.101,0,0.113,,10.8,0,6,0
lksponut,9/20/2016 9:35,1,1,,0.017,0,0.010,0,,<-2> [GDM],,<-2> [GCM],0.003,0,0.013,,4.3,0,13,0
lksponut,9/20/2016 9:37,1,2,,0.017,0,0.008,0,,<-2> [GDM],,<-2> [GCM],0.005,0,0.013,,3.8,0,13,0
lksblnut,9/20/2016 10:08,1,1,,0.014,0,0.098,0,,<-2> [GDM],,<-2> [GCM],0.131,0,0.229,,5.6,0,4,<1> [SRD]
lksblnut,9/20/2016 10:10,1,2,,0.011,0,0.094,0,,<-2> [GDM],,<-2> [GCM],0.140,0,0.234,,4.9,0,7,<1> [SRD]
lksbanut,9/20/2016 10:30,1,1,,0.012,0,0.046,0,,<-2> [GDM],,<-2> [GCM],0.237,0,0.283,,12.2,0,8,0
lksbanut,9/20/2016 10:32,1,2,,0.011,0,0.041,0,,<-2> [GDM],,<-2> [GCM],0.236,0,0.277,,12.4,0,7,0
lksbanut,10/24/2016 10:00,2,1,,0.029,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.520,<-3> (CSM),,<-2> [GCM],2.6,0,3,0
lksbanut,10/24/2016 12:00,2,1,,0.026,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.490,<-3> (CSM),,<-2> [GCM],2.8,0,5,0
lksbanut,10/24/2016 14:00,2,1,,0.030,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.501,<-3> (CSM),,<-2> [GCM],2.7,0,7,0
lksbanut,10/24/2016 16:00,2,1,,0.028,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.477,<-3> (CSM),,<-2> [GCM],2.9,0,3,0
lksbanut,10/24/2016 18:00,2,1,,0.030,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.467,<-3> (CSM),,<-2> [GCM],3.4,0,5,0
lksbanut,10/24/2016 20:00,2,1,,0.028,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.456,<-3> (CSM),,<-2> [GCM],3.8,0,4,0
lksbanut,10/24/2016 22:00,2,1,,0.029,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.462,<-3> (CSM),,<-2> [GCM],3.3,0,5,0
lksbanut,10/25/2016 0:00,2,1,,0.029,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.453,<-3> (CSM),,<-2> [GCM],3.2,0,5,0
lksbanut,10/25/2016 2:00,2,1,,0.028,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.463,<-3> (CSM),,<-2> [GCM],3.4,0,2,0
lksbanut,10/25/2016 4:00,2,1,,0.029,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.435,<-3> (CSM),,<-2> [GCM],3.2,0,3,0
lksbanut,10/25/2016 6:00,2,1,,0.030,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.465,<-3> (CSM),,<-2> [GCM],3,0,8,0
lksbanut,10/25/2016 8:00,2,1,,0.029,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.441,<-3> (CSM),,<-2> [GCM],3.5,0,5,0
lksolnut,10/25/2016 9:20,1,1,,0.012,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.151,<-3> (CSM),,<-2> [GCM],1.9,0,5,0
lksolnut,10/25/2016 9:22,1,2,,0.012,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.152,<-3> (CSM),,<-2> [GCM],1.8,0,3,0
lksponut,10/25/2016 9:48,1,1,,0.018,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.048,<-3> (CSM),,<-2> [GCM],9.1,0,15,0
lksponut,10/25/2016 9:50,1,2,,0.018,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.047,<-3> (CSM),,<-2> [GCM],8.3,0,13,0
lksblnut,10/25/2016 10:13,1,1,,0.024,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.220,<-3> (CSM),,<-2> [GCM],1.8,0,9,0
lksblnut,10/25/2016 10:16,1,2,,0.019,<-3> (CSM),,<-2> [GDM],,<-2> [GDM],,<-2> [GCM],0.189,<-3> (CSM),,<-2> [GCM],1.7,0,6,0
