Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO23F,F_NO23F,NO2F,F_NO2F,TN,F_TN,UncCHLa_N,F_UncCHLa_N,TSS,F_TSS,NO3F,F_NO3F
lksbanut,5/26/2015 8:00,2,1,,0.0069,<1> (CSM),,<-2> (CSM),0.037,<1> (CSM),0.191,<1> (CSM),0.012,<1> (CSM),,,10,,4,,0.179,
lksbanut,6/23/2015 11:20,1,1,,0.0163,,0.092,<-4> [SBL] (CSM),0.144,,0.29,,0.018,,0.11,<-3> (CSM),9.8,,12,,0.272,
lksbanut,6/23/2015 11:21,1,2,,0.0165,,0.092,<-4> [SBL] (CSM),0.147,,0.291,,0.018,,0.385,<-3> (CSM),8.1,,12,,0.273,
lksblnut,6/23/2015 10:54,1,1,,0.013,,0.092,<-4> [SBL] (CSM),0.339,,0.241,,0.012,,0.107,<-3> [SBL] (CSM),6.8,,7.3,,0.229,
lksblnut,6/23/2015 10:54,1,2,,0.0127,,0.092,<-4> [SBL] (CSM),0.34,,0.239,,0.012,,0.107,<-3> [SBL] (CSM),6.1,,9.3,,0.227,
lksolnut,6/23/2015 9:03,1,1,,0.0071,,0.092,<-4> [SBL] (CSM),0.034,,0.117,,0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),8.5,,10,,,<-4> [SCB]
lksolnut,6/23/2015 9:05,1,2,,0.0069,,0.092,<-4> [SBL] (CSM),0.038,,0.118,,0.0083,<-4> [SBL],0.365,<-3> (CSM),9,,10.7,,,<-4> [SCB]
lksponut,6/23/2015 9:43,1,1,,0.0375,,0.092,<-4> [SBL] (CSM),0.038,,0.023,,0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),3.8,,6,,,<-4> [SCB]
lksponut,6/23/2015 9:46,1,2,,0.0371,,0.092,<-4> [SBL] (CSM),0.034,,0.022,,0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),3.6,,4,,,<-4> [SCB]
lksbanut,6/22/2015 10:00,2,1,,0.0145,,0.092,<-4> [SBL] (CSM),0.142,,0.286,,0.018,,0.212,<-3> (CSM),7.9,,20.7,,0.268,
lksbanut,6/22/2015 12:00,2,1,,0.015,,0.092,<-4> [SBL] (CSM),0.142,,0.289,,0.018,,0.28,<-3> (CSM),8.3,,24,,0.271,
lksbanut,6/22/2015  14:00:00 PM,2,1,,0.0154,,0.092,<-4> [SBL] (CSM),0.139,,0.302,,0.079,,0.392,<-3> (CSM),9.1,,22,,0.223,
lksbanut,6/22/2015  16:00:00 PM,2,1,,0.0129,,0.092,<-4> [SBL] (CSM),0.114,,0.256,,0.016,,0.323,<-3> (CSM),10.1,,21.3,,0.24,
lksbanut,6/22/2015  18:00:00 PM,2,1,,0.0143,,0.092,<-4> [SBL] (CSM),0.125,,0.289,,0.019,,0.187,<-3> (CSM),9.2,,19.3,,0.27,
lksbanut,6/22/2015  20:00:00 PM,2,1,,0.0149,,0.092,<-4> [SBL] (CSM),0.13,,0.284,,0.018,,0.187,<-3> (CSM),9.5,,16.7,,0.266,
lksbanut,6/22/2015  22:00:00 PM,2,1,,0.0147,,0.092,<-4> [SBL] (CSM),0.121,,0.278,,0.018,,0.38,<-3> (CSM),10.9,,15.3,,0.26,
lksbanut,6/23/2015,2,1,,0.0157,,0.092,<-4> [SBL] (CSM),0.122,,0.284,,0.018,,0.328,<-3> (CSM),8.4,,5.3,,0.266,
lksbanut,6/23/2015 2:00,2,1,,0.016,,0.092,<-4> [SBL] (CSM),0.13,,0.283,,0.018,,0.225,<-3> (CSM),7.8,,16.7,,0.265,
lksbanut,6/23/2015 4:00,2,1,,0.0168,,0.092,<-4> [SBL] (CSM),0.132,,0.286,,0.018,,0.165,<-3> (CSM),9,,14.7,,0.268,
lksbanut,6/23/2015 6:00,2,1,,0.0166,,0.092,<-4> [SBL] (CSM),0.131,,0.288,,0.018,,0.107,<-3> [SBL] (CSM),7.9,,14.7,,0.27,
lksbanut,6/23/2015 8:00,2,1,,0.0167,,0.092,<-4> [SBL] (CSM),0.138,,0.285,,0.018,,0.107,<-3> [SBL] (CSM),8.5,,17.3,,0.267,
lksbanut,7/21/2015 11:37,1,1,,0.0063,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.253,,0.014,<1> (CSM),0.11,<-3> (CSM),32.9,,7.9,,0.239,
lksbanut,7/21/2015 11:38,1,2,,0.0078,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.253,,0.014,<1> (CSM),0.385,<-3> (CSM),30.9,,10.6,,0.239,
lksblnut,7/21/2015 11:08,1,1,,0.0107,,0.092,<-4> [SBL] (CSM),0.148,<1> (CSM),0.31,,0.012,<1> (CSM),0.107,<-3> [SBL] (CSM),11,,9.9,,0.298,
lksblnut,7/21/2015 11:09,1,2,,0.0097,,0.092,<-4> [SBL] (CSM),0.147,<1> (CSM),0.313,,0.012,<1> (CSM),0.107,<-3> [SBL] (CSM),11.1,,7.9,,0.301,
lksolnut,7/21/2015 9:19,1,1,,0.0064,,0.092,<-4> [SBL] (CSM),0.01,<1> (CSM),0.032,<1> (CSM),0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),11.5,,5.9,,,<-4> [SCB]
lksolnut,7/21/2015 9:20,1,2,,0.0063,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.053,<1> (CSM),0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),10.5,,5.3,,,<-4> [SCB]
lksponut,7/21/2015 10:26,1,1,,0.031,,0.092,<-4> [SBL] (CSM),0.024,<1> (CSM),0.008,<1> (CSM),0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),4.2,,3.3,,,<-4> [SCB]
lksponut,7/21/2015 10:27,1,2,,0.0398,,0.092,<-4> [SBL] (CSM),0.042,<1> (CSM),0.009,<1> (CSM),0.0083,<-4> [SBL],0.107,<-3> [SBL] (CSM),4.9,,4.6,,,<-4> [SCB]
lksbanut,7/20/2015 10:00,2,1,,0.0065,,0.092,<-4> [SBL] (CSM),0.011,<1> (CSM),0.269,,0.016,<1> (CSM),0.107,<-3> [SBL] (CSM),34.7,,13.9,,0.253,
lksbanut,7/20/2015 12:00,2,1,,0.0067,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.263,,0.016,<1> (CSM),0.107,<-3> [SBL] (CSM),31.1,,11.9,,0.247,
lksbanut,7/20/2015  14:00:00 PM,2,1,,0.0056,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.253,,0.016,<1> (CSM),0.107,<-3> [SBL] (CSM),32.4,,11.9,,0.237,
lksbanut,7/20/2015  16:00:00 PM,2,1,,0.0054,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.255,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),32.8,,13.2,,0.24,
lksbanut,7/20/2015  18:00:00 PM,2,1,,0.0046,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.248,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),31.4,,14.5,,0.233,
lksbanut,7/20/2015  20:00:00 PM,2,1,,0.0045,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.254,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),35,,12.5,,0.239,
lksbanut,7/20/2015  22:00:00 PM,2,1,,0.0051,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.255,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),32.4,,11.2,,0.24,
lksbanut,7/21/2015,2,1,,0.0057,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.282,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),30.9,,11.2,,0.267,
lksbanut,7/21/2015 2:00,2,1,,0.0065,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.296,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),32.1,,11.2,,0.281,
lksbanut,7/21/2015 4:00,2,1,,0.0066,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.29,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),30.6,,9.9,,0.275,
lksbanut,7/21/2015 6:00,2,1,,0.0058,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.285,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),30.1,,9.9,,0.27,
lksbanut,7/21/2015 8:00,2,1,,0.0056,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.274,,0.015,<1> (CSM),0.107,<-3> [SBL] (CSM),32.2,,8.6,,0.259,
lksbanut,8/26/2015 11:03,1,1,,0.0029,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.256,,0.0083,<-4> [SBL],1.146,<1> (CSM),15.2,,4.7,,,<-4> [SCB]
lksbanut,8/26/2015 11:05,1,2,,0.0028,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.254,,0.0083,<-4> [SBL],0.206,<1> (CSM),15.8,,5.3,,,<-4> [SCB]
lksblnut,8/26/2015 10:20,1,1,,0.0069,,0.092,<-4> [SBL] (CSM),0.107,<1> (CSM),0.289,,0.0083,<-4> [SBL],0.526,<1> (CSM),6.3,,5.3,,,<-4> [SCB]
lksblnut,8/26/2015 10:22,1,2,,0.0064,,0.092,<-4> [SBL] (CSM),0.111,<1> (CSM),0.283,,0.0083,<-4> [SBL],0.107,<1> (CSM),5.7,,5.3,,,<-4> [SCB]
lksolnut,8/26/2015 8:53,1,1,,0.0082,,0.092,<-4> [SBL] (CSM),0.015,<1> (CSM),0.018,,0.0083,<-4> [SBL],0.178,<1> (CSM),7.4,,5.3,,,<-4> [SCB]
lksolnut,8/26/2015 8:55,1,2,,0.0081,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.018,,0.0083,<-4> [SBL],0.46,<1> (CSM),7,,6,,,<-4> [SCB]
lksponut,8/26/2015 9:41,1,1,,0.0278,,0.092,<-4> [SBL] (CSM),0.016,<1> (CSM),0.022,,0.0083,<-4> [SBL],0.653,<1> (CSM),9.7,,16.7,,,<-4> [SCB]
lksponut,8/26/2015 9:42,1,2,,0.0263,,0.092,<-4> [SBL] (CSM),0.018,<1> (CSM),0.022,,0.0083,<-4> [SBL],0.268,<1> (CSM),16.9,,80.7,,,<-4> [SCB]
lksbanut,8/25/2015 10:00,2,1,,0.0019,,0.092,<-4> [SBL] (CSM),0.011,<1> (CSM),0.27,,0.0083,<-4> [SBL],0.107,<1> [SBL] (CSM),20.6,,6,,,<-4> [SCB]
lksbanut,8/25/2015 12:00,2,1,,0.0016,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.266,,0.0083,<-4> [SBL],0.874,<1> (CSM),20.3,,6.7,,,<-4> [SCB]
lksbanut,8/25/2015  14:00:00 PM,2,1,,0.0017,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.284,,0.0083,<-4> [SBL],0.107,<1> [SBL] (CSM),18.8,,6,,,<-4> [SCB]
lksbanut,8/25/2015  16:00:00 PM,2,1,,0.0014,,0.092,<-4> [SBL] (CSM),0.009,<1> (CSM),0.28,,0.009,<1> (CSM),0.107,<1> [SBL] (CSM),21,,6.7,,0.271,
lksbanut,8/25/2015  18:00:00 PM,2,1,,0.0015,,0.092,<-4> [SBL] (CSM),0.01,<1> (CSM),0.272,,0.0083,<-4> [SBL],0.358,<1> (CSM),18.7,,6,,,<-4> [SCB]
lksbanut,8/25/2015  20:00:00 PM,2,1,,0.0015,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.269,,0.0083,<-4> [SBL],0.424,<1> (CSM),18.4,,6.7,,,<-4> [SCB]
lksbanut,8/25/2015  22:00:00 PM,2,1,,0.0017,,0.092,<-4> [SBL] (CSM),0.012,<1> (CSM),0.269,,0.0083,<-4> [SBL],0.558,<1> (CSM),19.4,,4.7,,,<-4> [SCB]
lksbanut,8/26/2015,2,1,,0.0018,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.267,,0.0083,<-4> [SBL],0.22,<1> (CSM),18,,5.3,,,<-4> [SCB]
lksbanut,8/26/2015 2:00,2,1,,0.0018,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.255,,0.0083,<-4> [SBL],0.236,<1> (CSM),19.1,,4.7,,,<-4> [SCB]
lksbanut,8/26/2015 4:00,2,1,,0.0021,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.258,,0.0083,<-4> [SBL],0.411,<1> (CSM),17.8,,4.7,,,<-4> [SCB]
lksbanut,8/26/2015 6:00,2,1,,0.0021,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.26,,0.0083,<-4> [SBL],0.107,<1> [SBL] (CSM),18.1,,5.3,,,<-4> [SCB]
lksbanut,8/26/2015 8:00,2,1,,0.0024,,0.092,<-4> [SBL] (CSM),0.0087,<-4> [SBL] (CSM),0.263,,0.0083,<-4> [SBL],0.334,<1> (CSM),18.5,,3.3,,,<-4> [SCB]
lksbanut,9/24/2015 12:10,1,1,,0.0159,,0.092,<-4> [SBL] (CSM),0.103,,0.324,,0.017,<1> (CSM),0.768,<1> (CSM),10.5,,14.7,,0.307,
lksbanut,9/24/2015 12:11,1,2,,0.017,,0.092,<-4> [SBL] (CSM),0.11,,0.342,,0.019,<1> (CSM),0.701,<1> (CSM),9.6,,15.3,,0.323,
lksblnut,9/24/2015 11:30,1,1,,0.0177,,0.092,<-4> [SBL] (CSM),0.199,,0.234,,0.019,<1> (CSM),1.097,<1> (CSM),3.1,,13.3,,0.215,
lksblnut,9/24/2015 11:31,1,2,,0.0166,,0.092,<-4> [SBL] (CSM),0.194,,0.224,,0.019,<1> (CSM),1.102,<1> (CSM),3.2,,12.7,,0.205,
lksolnut,9/24/2015 10:08,1,1,,0.0145,,0.092,<-4> [SBL] (CSM),0.05,,0.154,,0.012,<1> (CSM),0.894,<1> (CSM),,,26,,0.142,
lksolnut,9/24/2015 10:10,1,2,,0.0144,,0.092,<-4> [SBL] (CSM),0.043,,0.15,,0.012,<1> (CSM),0.976,<1> (CSM),5.2,,29.3,,0.138,
lksponut,9/24/2015 9:14,1,1,,0.0194,,0.092,<-4> [SBL] (CSM),0.032,,0.236,,0.012,<1> (CSM),0.903,<1> (CSM),3.8,,50,,0.224,
lksponut,9/24/2015 9:15,1,2,,0.0214,,0.092,<-4> [SBL] (CSM),0.028,,0.263,,0.014,<1> (CSM),1.152,<1> (CSM),3.1,,54,,0.249,
lksbanut,9/23/2015 10:00,2,1,,0.0044,,0.092,<-4> [SBL] (CSM),0.052,,0.262,,0.016,<1> (CSM),0.571,<1> (CSM),16.2,,8.7,,0.246,
lksbanut,9/23/2015 12:00,2,1,,0.0037,,0.092,<-4> [SBL] (CSM),0.045,,0.262,,0.016,<1> (CSM),0.908,<1> (CSM),18.3,,9.3,,0.246,
lksbanut,9/23/2015  14:00:00 PM,2,1,,0.0098,,0.092,<-4> [SBL] (CSM),0.066,,0.278,,0.016,<1> (CSM),1.078,<1> (CSM),16.5,,19.3,,0.262,
lksbanut,9/23/2015  16:00:00 PM,2,1,,0.0122,,0.092,<-4> [SBL] (CSM),0.062,,0.287,,0.016,<1> (CSM),0.654,<1> (CSM),16.4,,20.7,,0.271,
lksbanut,9/23/2015  18:00:00 PM,2,1,,0.013,,0.092,<-4> [SBL] (CSM),0.065,,0.31,,0.018,<1> (CSM),0.708,<1> (CSM),13.7,,18,,0.292,
lksbanut,9/23/2015  20:00:00 PM,2,1,,0.0145,,0.092,<-4> [SBL] (CSM),0.066,,0.328,,0.018,<1> (CSM),0.961,<1> (CSM),14.2,,19.3,,0.31,
lksbanut,9/23/2015  22:00:00 PM,2,1,,0.0119,,0.092,<-4> [SBL] (CSM),0.063,,0.319,,0.018,<1> (CSM),0.726,<1> (CSM),13.4,,17.3,,0.301,
lksbanut,9/24/2015,2,1,,0.0115,,0.092,<-4> [SBL] (CSM),0.068,,0.317,,0.018,<1> (CSM),0.756,<1> (CSM),12.7,,14.7,,0.299,
lksbanut,9/24/2015 2:00,2,1,,0.0126,,0.092,<-4> [SBL] (CSM),0.078,,0.333,,0.02,<1> (CSM),1.108,<1> (CSM),12.3,,13.3,,0.313,
lksbanut,9/24/2015 4:00,2,1,,0.0122,,0.092,<-4> [SBL] (CSM),0.083,,0.349,,0.022,<1> (CSM),0.661,<1> (CSM),11.6,,15.3,,0.327,
lksbanut,9/24/2015 6:00,2,1,,0.0122,,0.092,<-4> [SBL] (CSM),0.093,,0.344,,0.021,<1> (CSM),0.746,<1> (CSM),11,,13.3,,0.323,
lksbanut,9/24/2015 8:00,2,1,,0.0128,,0.092,<-4> [SBL] (CSM),0.097,,0.332,,0.021,<1> (CSM),0.752,<1> (CSM),9.4,,14,,0.311,
lksbanut,10/20/2015 12:06,1,1,,0.0232,,0.092,<-4> [SBL] (CSM),0.118,,0.443,,0.04,<1> (CSM),1.698,<1> (CSM),4.1,,4.7,,0.403,
lksbanut,10/20/2015 12:08,1,2,,0.0231,,0.092,<-4> [SBL] (CSM),0.128,,0.437,,0.04,<1> (CSM),1.892,<1> (CSM),3.9,,4.7,,0.397,
lksblnut,10/20/2015 10:56,1,1,,0.021,,0.092,<-4> [SBL] (CSM),0.182,,0.301,<1> (CSM),0.032,<1> (CSM),1.291,<1> (CSM),1.6,,6,,0.269,
lksblnut,10/20/2015 10:58,1,2,,0.0207,,0.092,<-4> [SBL] (CSM),0.185,,0.28,<1> (CSM),0.031,<1> (CSM),1.232,<1> (CSM),1.7,,8,,0.249,
lksolnut,10/20/2015 8:55,1,1,,0.0144,,0.092,<-4> [SBL] (CSM),0.043,,0.175,<1> (CSM),0.017,<1> (CSM),1.027,<1> (CSM),3,,4.7,,0.158,
lksolnut,10/20/2015 8:57,1,2,,0.0145,,0.092,<-4> [SBL] (CSM),0.042,,0.169,<1> (CSM),0.016,<1> (CSM),1.339,<1> (CSM),4,,5.3,,0.153,
lksponut,10/20/2015 9:37,1,1,,0.0426,,0.092,<-4> [SBL] (CSM),0.038,,0.058,<1> (CSM),0.018,<1> (CSM),0.914,<1> (CSM),13.4,,14.7,,0.04,
