Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,TP,F_TP,PO4F,F_PO4F,TN,F_TN,NH4F,F_NH4F,NO23F,F_NO23F,NO2F,F_NO2F,NO3F,F_NO3F,DIN,F_DIN,CHLA_N,F_CHLA_N,TSS,F_TSS
lksbanut,5/31/2022 6:00:00 AM,2,1,,,<-1>,0.016,,,<-1>,0.075,,0.204,,0.008,,0.196,,0.279,,9.8,,11,
lksbanut,5/31/2022 8:00:00 AM,2,1,,,<-1>,0.015,,,<-1>,0.076,,0.201,,0.008,,0.193,,0.277,,9.6,,16,
lksblnut,6/2/2022 8:09:00 AM,1,1,,0.065,,0.011,,1.04,,0.051,,0.128,,0.007,<-4> [SBL],,<-4> [SCB],0.179,,2.7,,11,
lksblnut,6/2/2022 8:11:00 AM,1,2,,0.059,,0.011,,1,,0.049,,0.131,,0.007,,0.124,,0.18,,2.9,,11,
lksbanut,6/2/2022 11:22:00 AM,1,1,,0.055,,0.014,,1.17,,0.094,,0.192,,0.009,,0.183,,0.286,,4.1,,9,
lksbanut,6/2/2022 11:24:00 AM,1,2,,0.056,,0.014,,1.16,,0.096,,0.193,,0.008,,0.185,,0.289,,5.2,,8,
lksolnut,6/2/2022 9:49:00 AM,1,1,,0.082,,0.01,,1.21,,0.026,,0.122,,0.008,,0.114,,0.148,,3.4,,24,
lksolnut,6/2/2022 9:52:00 AM,1,2,,0.07,,0.01,,1.14,,0.023,,0.122,,0.008,,0.114,,0.145,,3.4,,23,
lksponut,6/2/2022 10:25:00 AM,1,1,,0.339,,0.044,,1.49,,0.029,,0.056,,0.007,,0.049,,0.085,,4.4,,114,
lksponut,6/2/2022 10:27:00 AM,1,2,,0.3,,0.031,,1.46,,0.024,,0.028,,0.007,<-4> [SBL],,<-4> [SCB],0.052,,3.4,,70,
lksbanut,6/28/2022 9:33:00 AM,1,1,,0.061,,0.015,,1.09,,0.078,,0.29,,0.012,,0.278,,0.368,,4.7,,8,
lksbanut,6/28/2022 9:36:00 AM,1,2,,0.055,,0.014,,1.08,,0.073,,0.285,,0.012,,0.273,,0.358,,4.8,,7,
lksblnut,6/28/2022 7:35:00 AM,1,1,,0.067,,0.016,,1.13,,0.117,,0.217,,0.011,,0.206,,0.334,,3.4,,5,
lksblnut,6/28/2022 7:38:00 AM,1,2,,0.068,,0.017,,1.11,,0.114,,0.208,,0.01,,0.198,,0.322,,2.9,,8,
lksolnut,6/28/2022 8:15:00 AM,1,1,,0.055,,0.015,,1.19,,0.026,,0.162,,0.008,,0.154,,0.188,,1.8,,8,
lksolnut,6/28/2022 8:17:00 AM,1,2,,0.056,,0.016,,1.19,,0.025,,0.16,,0.01,,0.15,,0.185,,2.6,,8,
lksponut,6/28/2022 8:50:00 AM,1,1,,0.172,,0.045,,1.36,,0.023,,0.067,,0.007,<-4> [SBL],,<-4> [SCB],0.09,,3.9,,78,
lksponut,6/28/2022 8:51:00 AM,1,2,,0.221,,0.04,,1.35,,0.02,,0.065,,0.008,,0.057,,0.085,,6.6,,20,
lksbanut,6/27/2022 10:30:00 AM,2,1,,,<-1>,0.013,,,<-1>,0.069,,0.286,,0.012,,0.274,,0.355,,4.8,,12,
lksbanut,6/27/2022 12:30:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.065,,0.286,,0.011,,0.275,,0.351,,6.4,,10,
lksbanut,6/27/2022 2:30:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.061,,0.284,,0.013,,0.271,,0.345,,6.4,,10,
lksbanut,6/27/2022 4:30:00 PM,2,1,,,<-1>,0.014,,,<-1>,0.074,,0.286,,0.012,,0.274,,0.36,,3.3,,13,
lksbanut,6/27/2022 6:30:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.066,,0.289,,0.011,,0.278,,0.355,,6.1,,10,
lksbanut,6/27/2022 8:30:00 PM,2,1,,,<-1>,0.016,,,<-1>,0.085,,0.279,,0.011,,0.268,,0.364,,2.8,,11,
lksbanut,6/27/2022 10:30:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.074,,0.283,,0.013,,0.27,,0.357,,4.9,,9,
lksbanut,6/28/2022 12:30:00 AM,2,1,,,<-1>,0.013,,,<-1>,0.071,,0.284,,0.013,,0.271,,0.355,,5.7,,9,
lksbanut,6/28/2022 2:30:00 AM,2,1,,,<-1>,0.012,,,<-1>,0.072,,0.282,,0.012,,0.27,,0.354,,6,,7,
lksbanut,6/28/2022 4:30:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.077,,0.284,,0.013,,0.271,,0.361,,5.4,,33,
lksbanut,6/28/2022 6:30:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.079,,0.285,,0.012,,0.273,,0.364,,4.3,,10,
lksbanut,6/28/2022 8:30:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.077,,0.284,,0.013,,0.271,,0.361,,6.9,,7,
lksbanut,7/25/2022 10:00:00 AM,2,1,,,<-1>,0.019,,,<-1>,0.045,,0.371,,0.046,,0.325,,0.416,,7,,5,
lksbanut,7/25/2022 12:00:00 PM,2,1,,,<-1>,0.018,,,<-1>,0.037,,0.351,,0.046,,0.305,,0.388,,5.2,,6,
lksbanut,7/25/2022 2:00:00 PM,2,1,,,<-1>,0.016,,,<-1>,0.031,,0.36,,0.047,,0.313,,0.391,,5.4,,6,
lksbanut,7/25/2022 4:00:00 PM,2,1,,,<-1>,0.016,,,<-1>,0.031,,0.355,,0.046,,0.309,,0.386,,8.9,,5,
lksbanut,7/25/2022 6:00:00 PM,2,1,,,<-1>,0.018,,,<-1>,0.031,,0.36,,0.049,,0.311,,0.391,,8.3,,5,
lksbanut,7/25/2022 8:00:00 PM,2,1,,,<-1>,0.018,,,<-1>,0.039,,0.369,,0.05,,0.319,,0.408,,8,,5,
lksbanut,7/25/2022 10:00:00 PM,2,1,,,<-1>,0.015,,,<-1>,0.043,,0.387,,0.053,,0.334,,0.43,,6.9,,6,
lksbanut,7/26/2022,2,1,,,<-1>,0.016,,,<-1>,0.044,,0.382,,0.056,,0.326,,0.426,,6.4,,6,
lksbanut,7/26/2022 2:00:00 AM,2,1,,,<-1>,0.019,,,<-1>,0.045,,0.375,,0.054,,0.321,,0.42,,6.1,,5,
lksbanut,7/26/2022 4:00:00 AM,2,1,,,<-1>,0.015,,,<-1>,0.044,,0.373,,0.053,,0.32,,0.417,,5.9,,10,
lksbanut,7/26/2022 6:00:00 AM,2,1,,,<-1>,0.019,,,<-1>,0.046,,0.377,,0.052,,0.325,,0.423,,5.1,,6,
lksbanut,7/26/2022 8:00:00 AM,2,1,,,<-1>,0.017,,,<-1>,0.044,,0.372,,0.055,,0.317,,0.416,,4,,5,
lksbanut,8/2/2022 10:28:00 AM,1,1,,0.049,,0.012,,1.07,,0.02,,0.384,,0.009,,0.375,,0.404,,10.4,,4,
lksbanut,8/2/2022 10:31:00 AM,1,2,,0.052,,0.012,,1.06,,0.017,,0.383,,0.01,,0.373,,0.4,,10.8,,4,
lksblnut,8/2/2022 7:29:00 AM,1,1,,0.053,,0.013,,1.08,,0.061,,0.352,,0.013,,0.339,,0.413,,3.1,,4,
lksblnut,8/2/2022 7:31:00 AM,1,2,,0.053,,0.015,,1.08,,0.064,,0.353,,0.011,,0.342,,0.417,,5.4,,4,
lksolnut,8/2/2022 8:07:00 AM,1,1,,0.053,,0.017,,1.19,,0.023,,0.181,,0.007,<-4> [SBL],,<-4> [SCB],0.204,,2.8,,4,
lksolnut,8/2/2022 8:10:00 AM,1,2,,0.052,,0.017,,1.18,,0.023,,0.182,,0.007,<-4> [SBL],,<-4> [SCB],0.205,,2.8,,4,
lksponut,8/2/2022 8:56:00 AM,1,1,,0.128,,0.026,,1.15,,0.008,<-4> [SBL],0.005,<-4> [SBL],0.007,<-4> [SBL],,<-4> [SCB],,<-4> [SCB],11.4,,14,
lksponut,8/2/2022 8:59:00 AM,1,2,,0.123,,0.023,,1.12,,0.008,<-4> [SBL],0.005,<-4> [SBL],0.007,<-4> [SBL],,<-4> [SCB],,<-4> [SCB],10.6,,10,
lksbanut,8/29/2022 10:00:00 AM,2,1,,,<-1>,0.017,,,<-1>,0.03,,0.343,,0.014,,0.329,,0.373,,6.6,,5,
lksbanut,8/29/2022 12:00:00 PM,2,1,,,<-1>,0.017,,,<-1>,0.035,,0.337,,0.015,,0.322,,0.372,,6.8,,4,
lksbanut,8/29/2022 2:00:00 PM,2,1,,,<-1>,0.019,,,<-1>,0.03,,0.349,,0.011,,0.338,,0.379,,6.5,,4,
lksbanut,8/29/2022 4:00:00 PM,2,1,,,<-1>,0.019,,,<-1>,0.035,,0.334,,0.012,,0.322,,0.369,,6.3,,3,
lksbanut,8/29/2022 6:00:00 PM,2,1,,,<-1>,0.018,,,<-1>,0.033,,0.332,,0.011,,0.321,,0.365,,5.7,,5,
lksbanut,8/29/2022 8:00:00 PM,2,1,,,<-1>,0.019,,,<-1>,0.033,,0.331,,0.013,,0.318,,0.364,,5.6,,4,
lksbanut,8/29/2022 10:00:00 PM,2,1,,,<-1>,0.021,,,<-1>,0.035,,0.35,,0.011,,0.339,,0.385,,5.1,,5,
lksbanut,8/29/2022,2,1,,,<-1>,0.02,,,<-1>,0.035,,0.331,,0.012,,0.319,,0.366,,4.7,,3,
lksbanut,8/30/2022 2:00:00 AM,2,1,,,<-1>,0.02,,,<-1>,0.038,,0.343,,0.013,,0.33,,0.381,,4.1,,2,
lksbanut,8/30/2022 4:00:00 AM,2,1,,,<-1>,0.022,,,<-1>,0.039,,0.339,,0.012,,0.327,,0.378,,3.9,,3,
lksbanut,8/30/2022 6:00:00 AM,2,1,,,<-1>,0.021,,,<-1>,0.042,,0.352,,0.011,,0.341,,0.394,,3.9,,3,
lksbanut,8/30/2022 8:00:00 AM,2,1,,,<-1>,0.021,,,<-1>,0.042,,0.34,,0.011,,0.329,,0.382,,4.6,,2,
lksbanut,8/31/2022 9:50:00 AM,1,1,,0.051,,0.019,,0.99,,0.029,,0.349,,0.012,,0.337,,0.378,,5.6,,5,
lksbanut,8/31/2022 9:52:00 AM,1,2,,0.048,,0.02,,0.99,,0.028,,0.347,,0.013,,0.334,,0.375,,5.6,,5,
lksblnut,8/31/2022 7:35:00 AM,1,1,,0.064,,0.018,,0.98,,0.019,,0.282,,0.017,,0.265,,0.301,,2.6,,9,
lksblnut,8/31/2022 7:38:00 AM,1,2,,0.061,,0.014,,0.99,,0.02,,0.285,,0.014,,0.271,,0.305,,2.6,,9,
lksolnut,8/31/2022 8:15:00 AM,1,1,,0.037,,0.011,,1.01,,0.016,,0.146,,0.007,<-4> [SBL],,<-4> [SCB],0.162,,3.6,,3,
lksolnut,8/31/2022 8:17:00 AM,1,2,,0.035,,0.012,,0.97,,0.015,,0.146,,0.007,<-4> [SBL],,<-4> [SCB],0.161,,3.5,,4,
lksponut,8/31/2022 9:00:00 AM,1,1,,0.093,,0.015,,0.92,,0.011,,0.006,,0.007,<-4> [SBL],,<-4> [SCB],0.017,,5,,8,
lksponut,8/31/2022 9:03:00 AM,1,2,,0.079,,0.017,,0.93,,0.011,,0.008,,0.007,<-4> [SBL],,<-4> [SCB],0.019,,5.5,,9,
lksbanut,9/27/2022 10:00:00 AM,2,1,,,<-1>,0.012,,,<-1>,0.019,,0.416,,0.008,,0.408,,0.435,,16.6,,10,
lksbanut,9/27/2022 12:00:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.016,,0.435,,0.007,,0.428,,0.451,,15.1,,9,
lksbanut,9/27/2022 2:00:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.014,,0.393,,0.008,,0.385,,0.407,,18.1,,9,
lksbanut,9/27/2022 4:00:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.014,,0.437,,0.009,,0.428,,0.451,,12.4,,7,
lksbanut,9/27/2022 6:00:00 PM,2,1,,,<-1>,0.016,,,<-1>,0.014,,0.476,,0.008,,0.468,,0.49,,10.6,,7,
lksbanut,9/27/2022 8:00:00 PM,2,1,,,<-1>,0.013,,,<-1>,0.014,,0.421,,0.008,,0.413,,0.435,,14.2,,7,
lksbanut,9/27/2022 10:00:00 PM,2,1,,,<-1>,,<-2> [GDM] (CSM),,<-1>,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GCM],,<-2> [GDM] (CSM),,<-1>
lksbanut,9/27/2022,2,1,,,<-1>,0.013,,,<-1>,0.02,,0.414,,0.008,,0.406,,0.434,,16,,7,
lksbanut,9/28/2022 2:00:00 AM,2,1,,,<-1>,0.016,,,<-1>,0.021,,0.489,,0.009,,0.48,,0.51,,12.2,,6,
lksbanut,9/28/2022 4:00:00 AM,2,1,,,<-1>,0.015,,,<-1>,0.019,,0.501,,0.009,,0.492,,0.52,,12.5,,6,
lksbanut,9/28/2022 6:00:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.019,,0.446,,0.009,,0.437,,0.465,,15.1,,8,
lksbanut,9/28/2022 8:00:00 AM,2,1,,,<-1>,0.014,,,<-1>,0.015,,0.442,,0.007,,0.435,,0.457,,14.9,,7,
lksbanut,9/28/2022 7:45:00 AM,1,1,,0.052,,0.013,,1.08,,0.022,,0.451,,0.008,,0.443,,0.473,,15.9,,7,
lksbanut,9/28/2022 7:48:00 AM,1,2,,0.052,,0.013,,1.05,,0.014,,0.447,,0.009,,0.438,,0.461,,15.2,,8,
lksblnut,9/28/2022 8:05:00 AM,1,1,,0.058,,0.025,,1.05,,0.072,,0.379,,0.011,,0.368,,0.451,,3.2,,3,
lksblnut,9/28/2022 8:07:00 AM,1,2,,0.056,,0.025,,1.08,,0.075,,0.378,,0.011,,0.367,,0.453,,2.9,,3,
lksolnut,9/28/2022 8:37:00 AM,1,1,,0.032,,0.013,,0.87,,0.018,,0.203,,0.007,<-4> [SBL],,<-4> [SCB],0.221,,2.7,,7,
lksolnut,9/28/2022 8:39:00 AM,1,2,,0.032,,0.013,,0.95,,0.022,,0.202,,0.007,<-4> [SBL],,<-4> [SCB],0.224,,2.6,,6,
lksponut,9/28/2022 9:05:00 AM,1,1,,0.072,,0.019,,0.85,,0.01,,0.005,<-4> [SBL],0.007,<-4> [SBL],,<-4> [SCB],,<-4> [SCB],6.7,,5,
lksponut,9/28/2022 9:07:00 AM,1,2,,0.074,,0.019,,0.86,,0.008,,0.005,<-4> [SBL],0.007,<-4> [SBL],,<-4> [SCB],,<-4> [SCB],6.2,,8,
lksbanut,10/26/2022 1:22:00 PM,1,1,,0.046,,0.012,,1.05,,0.087,,0.502,,,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GCM],7.5,,4,
lksbanut,10/26/2022 1:25:00 PM,1,1,,,<-1>,0.013,,,<-1>,0.085,,0.502,,,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GCM],7.4,,3,
lksponut,10/26/2022 9:35:00 AM,1,1,,0.2,,0.008,,1.044,,0.037,,0.022,,,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GCM],20.5,,56,
lksponut,10/26/2022 9:38:00 AM,1,1,,,<-1>,0.01,,,<-1>,0.04,,0.026,,,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GCM],20.6,,60,
lksblnut,10/26/2022 11:56:00 AM,1,1,,0.051,,0.019,,1.03,,0.127,,0.367,,0.008,,0.359,,0.494,,4.2,,5,
lksblnut,10/26/2022 11:58:00 AM,1,1,,0.051,,0.02,,0.98,,0.121,,0.359,,0.009,,0.35,,0.48,,4.4,,4,
lksolnut,10/26/2022 8:45:00 AM,1,1,,0.034,,0.01,,0.74,,0.027,,0.043,,0.007,<-4> [SBL],,<-4> [SCB],0.07,,3,,3,
lksolnut,10/26/2022 8:47:00 AM,1,1,,0.035,,0.01,,0.72,,0.025,,0.046,,0.007,<-4> [SBL],,<-4> [SCB],0.071,,3,,3,
lksbanut,10/25/2022 10:00:00 AM,2,1,,,<-1>,0.011,,,<-1>,0.055,,0.422,,0.01,,0.412,,0.477,,8,,3,
lksbanut,10/25/2022 12:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.055,,0.421,,0.009,,0.412,,0.476,,8.3,,3,
lksbanut,10/25/2022 2:00:00 PM,2,1,,,<-1>,0.01,,,<-1>,0.052,,0.417,,0.009,,0.408,,0.469,,9.1,,3,
lksbanut,10/25/2022 4:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.046,,0.414,,0.009,,0.405,,0.46,,9.2,,2,
lksbanut,10/25/2022 6:00:00 PM,2,1,,,<-1>,0.012,,,<-1>,0.042,,0.413,,0.009,,0.404,,0.455,,9.6,,3,
lksbanut,10/25/2022 8:00:00 PM,2,2,,,<-1>,0.01,,,<-1>,0.042,,0.41,,0.009,,0.401,,0.452,,9.1,,2,
lksbanut,10/25/2022 10:00:00 PM,2,1,,,<-1>,0.011,,,<-1>,0.043,,0.407,,0.009,,0.398,,0.45,,9.2,,2,
lksbanut,10/26/2022,2,2,,,<-1>,0.01,,,<-1>,0.045,,0.403,,0.009,,0.394,,0.448,,8.9,,2,
lksbanut,10/26/2022 2:00:00 AM,2,1,,,<-1>,0.01,,,<-1>,0.045,,0.402,,0.008,,0.394,,0.447,,9.2,,2,
lksbanut,10/26/2022 4:00:00 AM,2,2,,,<-1>,0.011,,,<-1>,0.047,,0.409,,0.01,,0.399,,0.456,,8.9,,2,<-4> [SBL]
lksbanut,10/26/2022 6:00:00 AM,2,1,,,<-1>,0.012,,,<-1>,0.046,,0.411,,0.01,,0.401,,0.457,,8.8,,2,
lksbanut,10/26/2022 8:00:00 AM,2,2,,,<-1>,0.013,,,<-1>,0.057,,0.42,,0.009,,0.411,,0.477,,8.3,,3,
