Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,CHLA_N,F_CHLA_N,TSS,F_TSS
lksbanut,9/16/2014 6:00,2,1,,0.0003,<-4> [SBL],0.133,0,0.012,0,0.289,0,0.301,0,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksolnut,9/16/14 9:25,1,1,,0.0003,<-4> [SBL],0.092,0,0.0014,<-4> [SBL],,<-4> [SCB],0.031,0,5.2,0,2,<-4> [SBL]
lksolnut,9/16/14 9:26,1,2,,0.0003,<-4> [SBL],0.073,0,0.0014,<-4> [SBL],,<-4> [SCB],0.030,0,4.5,0,2,<-4> [SBL]
lksponut,9/16/14 10:14,1,1,,0.020,0,0.201,0,0.002,0,0.031,0,0.033,0,4.2,0,2,<-4> [SBL]
lksponut,9/16/14 10:16,1,2,,0.015,0,0.176,0,0.0014,<-4> [SBL],,<-4> [SCB],0.027,0,2.5,0,8,0
lksblnut,9/16/14 10:52,1,1,,0.003,0,0.168,0,0.011,0,0.259,0,0.270,0,9.4,0,6,0
lksblnut,9/16/14 10:53,1,2,,0.003,0,0.178,0,0.012,0,0.246,0,0.258,0,10.4,0,2,0
lksbanut,9/16/14 11:32,1,1,,0.001,0,0.146,0,0.013,0,0.309,0,0.322,0,15.5,0,2,<-4> [SBL]
lksbanut,9/16/14 11:34,1,2,,0.001,0,0.142,0,0.012,0,0.312,0,0.324,0,16.9,0,2,<-4> [SBL]
lksbanut,10/15/2014 8:00,2,1,,0.008,0,0.080,0,0.033,0,0.459,0,0.492,0,9.9,0,10,0
lksbanut,10/15/2014 10:00,2,1,,0.006,0,0.064,0,0.030,0,0.432,0,0.462,0,9.8,0,6,0
lksbanut,10/15/2014 12:00,2,1,,0.006,0,0.062,0,0.028,0,0.431,0,0.459,0,11.3,0,8,0
lksbanut,10/15/2014 14:00,2,1,,0.005,0,0.060,0,0.028,0,0.431,0,0.459,0,9.9,0,4,0
lksbanut,10/15/2014 16:00,2,1,,0.004,0,0.059,0,0.028,0,0.431,0,0.459,0,7.2,0,10,0
lksbanut,10/15/2014 18:00,2,1,,0.006,0,0.061,0,0.027,0,0.434,0,0.461,0,11.2,0,2,0
lksbanut,10/15/2014 20:00,2,1,,0.005,0,0.069,0,0.027,0,0.422,0,0.449,0,9.9,0,6,0
lksbanut,10/15/2014 22:00,2,1,,0.005,0,0.062,0,0.026,0,0.414,0,0.440,0,9.4,0,6,0
lksbanut,10/16/2014 0:00,2,1,,0.003,0,0.059,0,0.025,0,0.413,0,0.438,0,12.2,0,6,0
lksbanut,10/16/2014 2:00,2,1,,0.005,0,0.056,0,0.024,0,0.407,0,0.431,0,10.1,0,6,0
lksbanut,10/16/2014 4:00,2,1,,0.004,0,0.049,0,0.023,0,0.402,0,0.425,0,12.7,0,4,0
lksbanut,10/16/2014 6:00,2,1,,0.003,0,0.064,0,0.023,0,0.410,0,0.433,0,10.2,0,4,0
lksolnut,10/16/14 8:40,1,1,,0.004,0,0.020,0,0.006,0,0.013,0,0.019,0,5.7,0,8,0
lksolnut,10/16/14 8:41,1,2,,0.004,0,0.017,0,0.006,0,0.011,0,0.017,0,6.0,0,2,<-4> [SBL]
lksponut,10/16/14 9:20,1,1,,0.020,0,0.054,0,0.013,0,0.025,0,0.038,0,1.6,0,8,0
lksponut,10/16/14 9:22,1,2,,0.018,0,0.048,0,0.012,0,0.021,0,0.033,0,1.8,0,8,0
lksbanut,10/16/14 10:45,1,1,,0.007,0,0.049,0,0.026,0,0.418,0,0.444,0,10.3,0,2,<-4> [SBL]
lksbanut,10/16/14 10:46,1,2,,0.007,0,0.046,0,0.023,0,0.403,0,0.426,0,10.6,0,6,0
lksblnut,10/16/14 11:13,1,1,,0.011,0,0.183,0,0.015,0,0.222,0,0.237,0,4.3,0,16,0
lksblnut,10/16/14 11:14,1,2,,0.010,0,0.187,0,0.015,0,0.220,0,0.235,0,4.7,0,10,0
lksbanut,11/12/2014 10:00,2,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,11/12/2014 12:00,2,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,11/12/2014 14:00,2,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,11/12/2014 16:00,2,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksbanut,11/12/2014 18:00,2,1,,0.010,0,0.120,<1> [GQS] (CSM),0.026,0,0.458,0,0.484,0,7.8,0,,0
lksbanut,11/12/2014 20:00,2,1,,0.012,0,0.155,<1> [GQS] (CSM),0.029,0,0.461,0,0.490,0,8.4,0,2,<-4> [SBL]
lksbanut,11/12/2014 22:00,2,1,,0.010,0,0.124,<1> [GQS] (CSM),0.023,0,0.449,0,0.472,0,7.5,0,6,0
lksbanut,11/13/2014 0:00,2,1,,0.010,0,0.128,<1> [GQS] (CSM),0.026,0,0.446,0,0.472,0,6.9,0,2,0
lksbanut,11/13/2014 2:00,2,1,,0.010,0,0.125,<1> [GQS] (CSM),0.024,0,0.438,0,0.462,0,7.7,0,2,0
lksbanut,11/13/2014 4:00,2,1,,0.011,0,0.124,<1> [GQS] (CSM),0.024,0,0.428,0,0.452,0,7.0,0,2,0
lksbanut,11/13/2014 6:00,2,1,,0.011,0,0.125,<1> [GQS] (CSM),0.022,0,0.436,0,0.458,0,5.0,0,2,0
lksbanut,11/13/2014 8:00,2,1,,0.011,0,0.129,<1> [GQS] (CSM),0.032,0,0.439,0,0.471,0,7.0,0,8,0
lksolnut,11/13/2014 10:17,1,1,,0.005,0,0.026,<1> [GQS] (CSM),0.012,0,0.061,0,0.073,0,3.0,0,6,0
lksolnut,11/13/2014 10:18,1,2,,0.005,0,0.012,<1> [GQS] (CSM),0.012,0,0.056,0,0.068,0,2.4,0,6,0
lksponut,11/13/2014 10:20,1,1,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksponut,11/13/2014 10:20,1,2,,,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GCM],,<-2> [GDM] (CSM),,<-2> [GDM] (CSM),,<-2> [GDM] (CSM)
lksblnut,11/13/14 11:24,1,1,,0.012,0,0.216,<1> [GQS] (CSM),0.015,0,0.211,0,0.226,0,5.0,0,2,<-4> [SBL]
lksblnut,11/13/14 11:25,1,2,,0.012,0,0.209,<1> [GQS] (CSM),0.015,0,0.209,0,0.224,0,5.4,0,2,<-4> [SBL]
lksbanut,11/13/14 11:41,1,1,,0.012,0,0.133,<1> [GQS] (CSM),0.017,0,0.478,0,0.495,0,6.5,0,4,0
lksbanut,11/13/14 11:42,1,2,,0.013,0,0.134,<1> [GQS] (CSM),0.021,0,0.456,0,0.477,0,8.1,0,4,0
