Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,TN,F_TN,SiO4F,F_SiO4F,CHLA_N,F_CHLA_N
lksolnut,6/27/2012 15:22,1,1,{CSM},0.002,<1> [GQS] (CSM),0.107,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.063,<1> [GQS] (CSM),1.19,<1> [GQS] (CSM),,<-2>,2.27,0
lksolnut,6/27/2012 15:23,1,2,{CSM},0.001,<1> [GQS] (CSM),0.095,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.063,<1> [GQS] (CSM),1.15,<1> [GQS] (CSM),,<-2>,2.56,0
lksblnut,6/27/2012 16:32,1,1,{CSM},0.001,<1> [GQS] (CSM),0.067,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.061,<1> [GQS] (CSM),1.15,<1> [GQS] (CSM),,<-2>,1.93,0
lksblnut,6/27/2012 16:33,1,2,{CSM},0.002,<1> [GQS] (CSM),0.077,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.061,<1> [GQS] (CSM),1.16,<1> [GQS] (CSM),,<-2>,2.36,0
lksbanut,6/27/2012 17:15,1,1,{CSM},0.002,<1> [GQS] (CSM),0.072,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.101,<1> [GQS] (CSM),1.15,<1> [GQS] (CSM),,<-2>,12.18,0
lksbanut,6/27/2012 17:16,1,2,{CSM},0.001,<1> [GQS] (CSM),0.073,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.098,<1> [GQS] (CSM),1.16,<1> [GQS] (CSM),,<-2>,5.43,0
lksolnut,7/10/2012 10:14,1,1,,0.008,<1> [GQS] (CSM),0.08,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.18,0,1.38,<1> [GQS] (CSM),9.67,0,3.17,0
lksolnut,7/10/2012 10:15,1,2,,0.008,<1> [GQS] (CSM),0.084,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.178,0,1.34,<1> [GQS] (CSM),9.56,0,3.04,0
lksbanut,7/12/2012 10:40,1,1,,0.007,<1> [GQS] (CSM),0.076,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.192,0,1.26,<1> [GQS] (CSM),8.15,0,2.93,0
lksbanut,7/12/2012 10:41,1,2,,0.008,<1> [GQS] (CSM),0.079,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.192,0,1.27,<1> [GQS] (CSM),8.38,0,2.63,0
lksblnut,7/12/2012 10:56,1,1,,0.007,<1> [GQS] (CSM),0.055,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.233,0,1.01,<1> [GQS] (CSM),6.96,0,0.96,0
lksblnut,7/12/2012 10:57,1,2,,0.006,<1> [GQS] (CSM),0.055,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.235,0,1.12,<1> [GQS] (CSM),6.81,0,0.82,0
lksbanut,8/6/2012 9:14,1,1,,0.025,<1> [GQS] (CSM),0.099,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.447,0,1.24,0,7.5,0,7.36,0
lksbanut,8/6/2012 9:15,1,2,,0.026,<1> [GQS] (CSM),0.094,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.434,0,1.23,0,7.38,0,7.59,0
lksblnut,8/6/2012 10:25,1,1,,0.009,<1> [GQS] (CSM),0.068,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.229,0,1.28,0,10.7,0,8.08,0
lksblnut,8/6/2012 10:26,1,2,,0.008,<1> [GQS] (CSM),0.073,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.229,0,1.27,0,10.84,0,7.36,0
lksolnut,8/6/2012 11:06,1,1,,0.006,<1> [GQS] (CSM),0.068,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.192,0,1.27,0,10.45,0,5.57,0
lksolnut,8/6/2012 11:07,1,2,,0.005,<1> [GQS] (CSM),0.067,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.184,0,1.27,0,10.16,0,5.03,0
lksbanut,9/4/2012 11:45,1,1,,0.003,<1> [GQS] (CSM),0.064,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.12,0,0.9,0,0.26,0,29.49,0
lksbanut,9/4/2012 11:46,1,2,,0.003,<1> [GQS] (CSM),0.044,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.123,0,0.85,0,0.21,0,30.84,0
lksblnut,9/4/2012 12:09,1,1,,0.006,<1> [GQS] (CSM),0.056,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.293,0,1.02,0,1.1,0,14.78,0
lksblnut,9/4/2012 12:10,1,2,,0.005,<1> [GQS] (CSM),0.051,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.29,0,0.98,0,1.02,0,13.77,0
lksolnut,9/4/2012 13:30,1,1,,0.004,<1> [GQS] (CSM),0.035,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.85,0,2.01,0,7.75,0
lksolnut,9/4/2012 13:31,1,2,,0.004,<1> [GQS] (CSM),0.036,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.86,0,2.02,0,6.96,0
lksbanut,10/2/2012 9:00,1,1,,0.017,<1> [GQS] (CSM),0.036,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.263,0,0.84,0,0.02,0,13.32,0
lksbanut,10/2/2012 9:01,1,2,,0.018,<1> [GQS] (CSM),0.036,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.284,0,0.87,0,0.012,<-4> [SBL],9.51,0
lksblnut,10/2/2012 9:24,1,1,,0.013,<1> [GQS] (CSM),0.044,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.099,0,0.9,0,0.12,0,15.64,0
lksblnut,10/2/2012 9:25,1,2,,0.029,<1> [GQS] (CSM),0.045,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.103,0,0.91,0,0.06,0,17.1,0
lksolnut,10/2/2012 10:45,1,1,,0.021,<1> [GQS] (CSM),0.028,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.66,0,1.77,0,3.97,0
lksolnut,10/2/2012 10:46,1,2,,0.026,<1> [GQS] (CSM),0.034,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.68,0,1.76,0,3.97,0
lksbanut,11/7/2012 10:10,1,1,,0.036,<1> [GQS] (CSM),0.036,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.344,0,0.95,0,0.37,0,12.69,0
lksbanut,11/7/2012 10:11,1,2,,0.016,<1> [GQS] (CSM),0.034,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.346,0,0.95,0,0.44,0,13.36,0
lksblnut,11/7/2012 10:34,1,1,,0.02,<1> [GQS] (CSM),0.055,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.126,0,0.94,0,0.86,0,9.95,0
lksblnut,11/7/2012 10:35,1,2,,0.03,<1> [GQS] (CSM),0.052,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.124,0,0.93,0,0.84,0,9.88,0
lksolnut,11/7/2012 11:56,1,1,,0.012,<1> [GQS] (CSM),0.024,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.57,0,1.99,0,3.59,0
lksolnut,11/7/2012 11:57,1,2,,0.037,<1> [GQS] (CSM),0.027,<1> [GQS] (CSM),,<-2> (CSM),,<-2> (CSM),,<-2>  (CSM),0.0006,<-4> [SBL],0.56,0,2.02,0,3.1,0
