Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,NH4F,F_NH4F,NO2F,F_NO2F,NO23F,F_NO23F,NO3F,F_NO3F,TN,F_TN,PO4F,F_PO4F,TP,F_TP,CHLA_N,F_CHLA_N,TSS,F_TSS
lksolnut,4/23/2019 9:32:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.009,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,2.04,,36.5,
lksponut,4/23/2019 10:34:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.012,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.005,<1> (CHB),,<-1>,1.07,,376,
lksponut,4/23/2019 10:35:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.01,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.004,<1> (CHB),,<-1>,1.48,,380,
lksbanut,5/29/2019 10:00:00 AM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,8.52,,1,
lksbanut,5/29/2019 12:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,9.21,,4,
lksbanut,5/29/2019 2:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,9,,4,
lksbanut,5/29/2019 4:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,10.87,,6,
lksbanut,5/29/2019 6:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,11.44,,4,
lksbanut,5/29/2019 8:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,11.63,,2,
lksbanut,5/29/2019 10:00:00 PM,2,1,,0.002,<-3> [SBL] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,11.3,,6,
lksbanut,5/30/2019,2,1,,0.002,<-3> [SBL] (CSM),0.018,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,12.37,,3,
lksbanut,5/30/2019 2:00:00 AM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,11.2,,8,
lksbanut,5/30/2019 4:00:00 AM,2,1,,0.002,<-3> [SBL] (CSM),0.009,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,10.59,,3,
lksbanut,5/30/2019 6:00:00 AM,2,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,10.48,,5,
lksbanut,5/30/2019 8:00:00 AM,2,1,,0.002,<-3> [SBL] (CSM),0.009,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,11.02,,4,
lksbanut,5/28/2019 11:15:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.003,<1> [SBL] (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,7.03,,1,
lksbanut,5/28/2019 11:16:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,7.87,,1,
lksblnut,5/28/2019 9:00:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,3.1,,1,<-4> [SBL]
lksblnut,5/28/2019 9:01:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,3.24,,6,
lksolnut,5/28/2019 9:30:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,2.65,,2,
lksolnut,5/28/2019 9:31:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,2.8,,4,
lksponut,5/28/2019 10:15:00 AM,1,1,,0.002,<-3> [SBL] (CSM),0.008,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.003,<1> (CHB),,<-1>,0.98,,35,
lksponut,5/28/2019 10:16:00 AM,1,2,,0.002,<-3> [SBL] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,1.18,,18,
lksbanut,6/24/2019 10:00,2,1,,0.02,,0.002,<-4> [SBL],0.132,,,<-4> [SCB],0.721,,0.008,,0.051,,24.97,,13,
lksbanut,6/24/2019 12:00,2,1,,0.016,,0.002,<-4> [SBL],0.123,,,<-4> [SCB],0.712,,0.004,,0.039,,26.51,,13,
lksbanut,6/24/2019 14:00,2,1,,0.013,,0.002,<-4> [SBL],0.13,,,<-4> [SCB],0.704,,0.007,,0.044,,29.56,,15,
lksbanut,6/24/2019 16:00,2,1,,0.011,,0.002,<-4> [SBL],0.123,,,<-4> [SCB],0.726,,0.005,,0.039,,28.2,,15,
lksbanut,6/24/2019 18:00,2,1,,0.01,,0.002,<-4> [SBL],0.118,,,<-4> [SCB],0.721,,0.004,,0.035,,27.79,,12.5,
lksbanut,6/24/2019 8:00:00 PM,2,1,,0.012,,0.002,<-4> [SBL],0.117,,,<-4> [SCB],0.726,,0.007,,0.03,,29.55,,14,
lksbanut,6/24/2019 10:00:00 PM,2,1,,0.002,,0.002,<-4> [SBL],0.115,,,<-4> [SCB],0.713,,0.005,,0.034,,26.96,,12,
lksbanut,6/25/2019 00:00,2,1,,0.044,,0.002,,0.121,,0.119,,0.733,,0.005,,0.037,,27.97,,13.5,
lksbanut,6/25/2019 02:00,2,1,,0.022,,0.002,,0.133,,0.131,,0.707,,0.005,,0.039,,27.89,,9,
lksbanut,6/25/2019 04:00,2,1,,0.027,,0.002,,0.146,,0.144,,0.754,,0.032,,0.043,,26.95,,13,
lksbanut,6/25/2019 06:00,2,1,,0.027,,0.002,,0.144,,0.142,,0.76,,0.005,,0.042,,27.87,,11,
lksbanut,6/25/2019 08:00,2,1,,0.005,,0.002,,0.153,,0.151,,0.677,,0.004,,0.036,,28.64,,9.5,
lksbanut,6/25/2019 12:17,1,1,,0.021,,0.003,,0.19,,0.187,,0.783,,0.005,,0.036,,28.55,,5,
lksbanut,6/25/2019 12:19,1,2,,0.019,,0.002,,0.175,,0.173,,0.777,,0.005,,0.033,,28.08,,8,
lksolnut,6/25/2019 10:15,1,1,,0.027,,0.002,<-4> [SBL],0.067,,,<-4> [SCB],0.647,,0.006,,0.033,,7.2,,4,
lksolnut,6/25/2019 10:17,1,2,,0.024,,0.002,<-4> [SBL],0.069,,,<-4> [SCB],0.655,,0.005,,0.038,,7.42,,5,
lksblnut,6/25/2019 11:55,1,1,,0.108,,0.002,<-4> [SBL],0.057,,,<-4> [SCB],0.777,,0.006,,0.038,,17.86,,5,
lksblnut,6/25/2019 11:56,1,2,,0.1,,0.002,<-4> [SBL],0.058,,,<-4> [SCB],0.746,,0.006,,0.039,,18.04,,2,
lksponut,6/25/2019 11:02,1,1,,0.013,,0.002,<-4> [SBL],0.009,,,<-4> [SCB],0.852,,0.013,,0.102,,6.04,,35,
lksponut,6/25/2019 11:03,1,2,,0.013,,0.002,<-4> [SBL],0.012,,,<-4> [SCB],0.793,,0.019,,0.087,,5.49,,3,
lksbanut,7/29/2019 12:00,2,1,,0.023,,0.013,,0.264,,0.251,,0.702,,0.006,,0.038,,31.07,,7,
lksbanut,7/29/2019 14:00,2,1,,0.01,,0.015,,0.299,,0.284,,0.739,,0.006,,0.038,,31.21,,8,
lksbanut,7/29/2019 16:00,2,1,,0.008,,0.013,,0.263,,0.25,,0.7,,0.006,,0.038,,31.44,,8,
lksbanut,7/29/2019 18:00,2,1,,0.005,,0.015,,0.292,,0.277,,0.751,,0.008,,0.035,,34.41,,9,
lksbanut,7/29/2019 20:00,2,1,,0.007,,0.012,,0.259,,0.247,,0.695,,0.006,,0.04,,36.13,,11,
lksbanut,7/29/2019 22:00,2,1,,0.007,,0.013,,0.261,,0.248,,0.698,,0.006,,0.038,,34.83,,10,
lksbanut,7/30/2019 12:45,1,1,,0.012,,0.013,,0.279,,0.266,,0.735,,0.008,,0.052,,25.38,,8,
lksbanut,7/30/2019 12:46,1,2,,0.01,,0.012,,0.266,,0.254,,0.73,,0.009,,0.054,,25.37,,5,
lksolnut,7/30/2019 10:53,1,1,,0.017,,0.005,,0.053,,0.048,,0.725,,0.019,,0.057,,8.21,,5,
lksolnut,7/30/2019 10:54:00 AM,1,2,,0.021,,0.002,,0.053,,0.051,,0.727,,0.018,,0.052,,7.24,,6,
lksblnut,7/30/2019 09:30,1,1,,0.032,,0.012,,0.275,,0.263,,0.67,,0.008,,0.039,,10.42,,2,
lksblnut,7/30/2019 09:31,1,2,,0.028,,0.011,,0.278,,0.267,,0.667,,0.007,,0.036,,10.25,,4,
lksponut,7/30/2019 10:05,1,1,,0.007,,0.002,,0.002,<-4> [SBL],,<-4> [SCB],0.91,,0.013,,0.108,,18.95,,13,
lksponut,7/30/2019 10:07,1,2,,0.006,,0.002,,0.002,<-4> [SBL],,<-4> [SCB],0.91,,0.015,,0.102,,19.43,,19,
lksbanut,7/30/2019 00:00,2,1,,0.008,,0.011,,0.246,,0.235,,0.646,,0.006,,0.032,,33.15,,11,
lksbanut,7/30/2019 02:00,2,1,,0.009,,0.012,,0.259,,0.247,,0.693,,0.006,,0.04,,36.5,,9,
lksbanut,7/30/2019 04:00,2,1,,0.012,,0.013,,0.277,,0.264,,0.696,,0.008,,0.032,,32.42,,8,
lksbanut,7/30/2019 06:00,2,1,,0.017,,0.013,,0.289,,0.276,,0.692,,0.006,,0.038,,30.64,,10,
lksbanut,7/30/2019 08:00,2,1,,0.017,,0.013,,0.292,,0.279,,0.687,,0.007,,0.037,,28.57,,10,
lksbanut,7/30/2019 10:00,2,1,,0.013,,0.012,,0.266,,0.254,,0.677,,0.007,,0.039,,33.09,,7,
lksbanut,9/2/2019 10:00:00 AM,2,1,,0.03,<1> (CHB),0.004,,0.22,,0.216,,0.577,,0.002,<1> [SBL] (CHB),0.027,,20.88,,7,
lksbanut,9/2/2019 12:00:00 PM,2,1,,0.016,<1> (CHB),0.004,,0.201,,0.197,,0.582,,0.002,<1> [SBL] (CHB),0.03,,23.26,,7.5,
lksbanut,9/2/2019 2:00:00 PM,2,1,,0.012,<1> (CHB),0.004,,0.195,,0.191,,0.57,,0.002,<1> [SBL] (CHB),0.023,,23.77,,7,
lksbanut,9/2/2019 4:00:00 PM,2,1,,0.014,<1> (CHB),0.004,,0.163,,0.159,,0.53,,0.002,<1> [SBL] (CHB),0.024,,19.48,,7,
lksbanut,9/2/2019 6:00:00 PM,2,1,,0.014,<1> (CHB),0.004,,0.167,,0.163,,0.515,,0.002,<1> (CHB),0.021,,19.03,,5,
lksbanut,9/2/2019 8:00:00 PM,2,1,,0.013,<1> (CHB),0.004,,0.158,,0.154,,0.511,,0.002,<1> [SBL] (CHB),0.022,,20.64,,4,
lksbanut,9/2/2019 10:00:00 PM,2,1,,0.013,<1> (CHB),0.004,,0.167,,0.163,,0.499,,0.002,<1> [SBL] (CHB),0.018,,17.8,,6.5,
lksbanut,9/03/2019 00:00,2,1,,0.015,<1> (CHB),0.004,,0.159,,0.155,,0.505,,0.002,<1> [SBL] (CHB),0.023,,19.51,,7,
lksbanut,9/03/2019 02:00,2,1,,0.01,<1> (CHB),0.004,,0.149,,0.145,,0.534,,0.002,<1> [SBL] (CHB),0.025,,22.63,,6.5,
lksbanut,9/03/2019 04:00,2,1,,0.012,<1> (CHB),0.004,,0.148,,0.144,,0.497,,0.002,<1> [SBL] (CHB),0.03,,20.97,,7.5,
lksbanut,9/03/2019 06:00,2,1,,0.014,<1> (CHB),0.004,,0.161,,0.157,,0.511,,0.002,<1> [SBL] (CHB),0.031,,21.8,,9,
lksbanut,9/03/2019 08:00,2,1,,0.02,<1> (CHB),0.004,,0.155,,0.151,,0.486,,0.002,<1> [SBL] (CHB),0.02,,24.38,,10,
lksbanut,9/04/2019 10:33,1,1,,0.019,<1> (CHB),0.004,,0.179,,0.175,,0.529,,0.002,<1> [SBL] (CHB),0.029,,15.39,,6,
lksbanut,9/04/2019 10:34,1,2,,0.01,<1> (CHB),0.004,,0.175,,0.171,,0.548,,0.002,<1> [SBL] (CHB),0.03,,11.96,,6,
lksblnut,9/04/2019 07:55,1,1,,0.099,<1> (CHB),0.003,,0.165,,0.162,,0.622,,0.002,<1> [SBL] (CHB),0.028,,15.66,,6,
lksblnut,9/04/2019 07:56,1,2,,0.102,<1> (CHB),0.003,,0.163,,0.16,,0.633,,0.002,<1> [SBL] (CHB),0.026,,13.86,,6,
lksolnut,9/04/2019 08:33,1,1,,0.011,<1> (CHB),0.002,,0.009,,0.007,,0.48,,0.003,<1> (CHB),0.024,,9.89,,4,
lksolnut,9/04/2019 08:34,1,2,,0.01,<1> (CHB),0.002,,0.007,,0.005,,0.477,,0.003,<1> (CHB),0.021,,7.96,,5.5,
lksponut,9/04/2019 09:20,1,1,,0.011,<1> (CHB),0.002,,0.011,,0.009,,0.673,,0.002,<1> (CHB),0.03,,6.7,,9,
lksponut,9/04/2019 09:21,1,2,,0.011,<1> (CHB),0.002,,0.007,,0.005,,0.693,,0.003,<1> (CHB),0.052,,6.33,,6.5,
lksbanut,9/23/2019 12:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,20.55,,5,
lksbanut,9/23/2019 2:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,20.77,,3.5,
lksbanut,9/23/2019 4:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,21.04,,4,
lksbanut,9/23/2019 6:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,18.4,,4.5,
lksbanut,9/23/2019 8:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,21.63,,3.5,
lksbanut,9/23/2019 10:00:00 PM,2,1,,,<-2> [GDM] (CSM),0.007,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,17.77,,4,
lksbanut,9/24/2019,2,1,,,<-2> [GDM] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,19.27,,4.5,
lksbanut,9/24/2019 2:00:00 AM,2,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,17.87,,2.5,
lksbanut,9/24/2019 4:00:00 AM,2,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,18.85,,3.5,
lksbanut,9/24/2019 6:00:00 AM,2,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,19.51,,4.5,
lksbanut,9/24/2019 8:00:00 AM,2,1,,,<-2> [GDM] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,21.38,,3,
lksbanut,9/24/2019 10:00:00 AM,2,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,22.62,,3.5,
lksbanut,9/24/2019 9:25:00 AM,1,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,19.94,,5,
lksbanut,9/24/2019 9:26:00 AM,1,2,,,<-2> [GDM] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> [SBL] (CHB),,<-1>,19.03,,3.5,
lksblnut,9/24/2019 9:06:00 AM,1,1,,,<-2> [GDM] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,11.17,,2.5,
lksblnut,9/24/2019 9:07:00 AM,1,2,,,<-2> [GDM] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.002,<1> (CHB),,<-1>,11.36,,5,
lksolnut,9/24/2019 8:09:00 AM,1,1,,,<-2> [GDM] (CSM),0.004,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.008,<1> (CHB),,<-1>,7.03,,5.5,
lksolnut,9/24/2019 8:10:00 AM,1,2,,,<-2> [GDM] (CSM),0.003,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.009,<1> (CHB),,<-1>,3.91,,4,
lksponut,9/24/2019 8:35:00 AM,1,1,,,<-2> [GDM] (CSM),0.005,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.01,<1> (CHB),,<-1>,3.55,,11,
lksponut,9/24/2019 8:37:00 AM,1,2,,,<-2> [GDM] (CSM),0.006,<1> (CHB),,<-2> [GDM] (CSM),,<-2> [GCM],,<-1>,0.012,<1> (CHB),,<-1>,3.57,,14,
