Collection Start Date/Time,DNR Parameter Description, Value,Units,Site,Round 
07/31/2023 12:27,"CRYPTOMONAS SP., COUNT",28,cells/mL,3,3
07/31/2023 12:27,"DICTYOSPHAERIUM SP., COUNT",74,cells/mL,3,3
07/31/2023 12:27,"DINOBRYON SP., COUNT",346,cells/mL,3,3
07/31/2023 12:27,"GONYOSTOMUM SP., COUNT",97,cells/mL,3,3
07/31/2023 12:27,"KOMMA CAUDATA, COUNT",68,cells/mL,3,3
07/31/2023 12:27,"PENNALES DIATOMS, COUNT",57,cells/mL,3,3
07/31/2023 12:27,"PERIDINIUM SP., COUNT",6,cells/mL,3,3
07/31/2023 12:27,"PSEUDANABAENA SP., COUNT",221,cells/mL,3,3
07/31/2023 12:27,"SPHAEROCYSTIS SP., COUNT",204,cells/mL,3,3
07/31/2023 12:27,"TETRAEDRON SP., COUNT",17,cells/mL,3,3
07/31/2023 12:27,"UROSOLENIA SP., COUNT",278,cells/mL,3,3
07/31/2023 13:02,"ANKISTRODESMUS SP., COUNT",7,cells/mL,8,3
07/31/2023 13:02,"APHANOCAPSA SP., COUNT",164,cells/mL,8,3
07/31/2023 13:02,"APHANOTHECE SP., COUNT",160,cells/mL,8,3
07/31/2023 13:02,"ASTERIONELLA SP., COUNT",68,cells/mL,8,3
07/31/2023 13:02,"CENTRALES DIATOMS, COUNT",279,cells/mL,8,3
07/31/2023 13:02,"CHLAMYDOMONAS SP., COUNT",31,cells/mL,8,3
07/31/2023 13:02,"COSMARIUM SP., COUNT",7,cells/mL,8,3
07/31/2023 13:02,"CRUCIGENIA SP., COUNT",218,cells/mL,8,3
07/31/2023 13:02,"DICTYOSPHAERIUM SP., COUNT",55,cells/mL,8,3
07/31/2023 13:02,"DINOBRYON SP., COUNT",255,cells/mL,8,3
07/31/2023 13:02,"GLOEOCYSTIS SP., COUNT",14,cells/mL,8,3
07/31/2023 13:02,"GOLENKINIA SP., COUNT",3,cells/mL,8,3
07/31/2023 13:02,"GYMNODINIUM SP., COUNT",78,cells/mL,8,3
07/31/2023 13:02,"KOMMA CAUDATA, COUNT",7,cells/mL,8,3
07/31/2023 13:02,"OOCYSTIS SP., COUNT",37,cells/mL,8,3
07/31/2023 13:02,"PENNALES DIATOMS, COUNT",89,cells/mL,8,3
07/31/2023 13:02,"QUADRIGULA SP., COUNT",10,cells/mL,8,3
07/31/2023 13:02,"TETRAEDRON SP., COUNT",24,cells/mL,8,3
07/31/2023 13:02,"TRACHELOMONAS SP., COUNT",34,cells/mL,8,3
07/31/2023 13:02,"UROSOLENIA SP., COUNT",48,cells/mL,8,3
08/01/2023 08:48,"ANKISTRODESMUS SP., COUNT",4,cells/mL,9,3
08/01/2023 08:48,"APHANOCAPSA SP., COUNT",518,cells/mL,9,3
08/01/2023 08:48,"APHANOTHECE SP., COUNT",226,cells/mL,9,3
08/01/2023 08:48,"ASTERIONELLA SP., COUNT",93,cells/mL,9,3
08/01/2023 08:48,"AULACOSEIRA SP., COUNT",142,cells/mL,9,3
08/01/2023 08:48,"CENTRALES DIATOMS, COUNT",420,cells/mL,9,3
08/01/2023 08:48,"CHLAMYDOMONAS SP., COUNT",35,cells/mL,9,3
08/01/2023 08:48,"COSMARIUM SP., COUNT",9,cells/mL,9,3
08/01/2023 08:48,"CRUCIGENIA SP., COUNT",53,cells/mL,9,3
08/01/2023 08:48,"CRYPTOMONAS SP., COUNT",9,cells/mL,9,3
08/01/2023 08:48,"DICTYOSPHAERIUM SP., COUNT",27,cells/mL,9,3
08/01/2023 08:48,"DINOBRYON SP., COUNT",323,cells/mL,9,3
08/01/2023 08:48,"GOLENKINIA SP., COUNT",9,cells/mL,9,3
08/01/2023 08:48,"GYMNODINIUM SP., COUNT",84,cells/mL,9,3
08/01/2023 08:48,"KOMMA CAUDATA, COUNT",66,cells/mL,9,3
08/01/2023 08:48,"LIMNOTHRIX SP., COUNT",142,cells/mL,9,3
08/01/2023 08:48,"NAVICULA SP., COUNT",4,cells/mL,9,3
08/01/2023 08:48,"OOCYSTIS SP., COUNT",9,cells/mL,9,3
08/01/2023 08:48,"PENNALES DIATOMS, COUNT",71,cells/mL,9,3
08/01/2023 08:48,"SCENEDESMUS SP., COUNT",18,cells/mL,9,3
08/01/2023 08:48,"TETRAEDRON SP., COUNT",27,cells/mL,9,3
08/01/2023 08:48,"UROSOLENIA SP., COUNT",106,cells/mL,9,3
08/01/2023 10:10,"ANKISTRODESMUS SP., COUNT",4,cells/mL,6,3
08/01/2023 10:10,"APHANOCAPSA SP., COUNT",121,cells/mL,6,3
08/01/2023 10:10,"APHANOTHECE SP., COUNT",289,cells/mL,6,3
08/01/2023 10:10,"ASTERIONELLA SP., COUNT",86,cells/mL,6,3
08/01/2023 10:10,"AULACOSEIRA SP., COUNT",17,cells/mL,6,3
08/01/2023 10:10,"CARTERIA SP., COUNT",4,cells/mL,6,3
08/01/2023 10:10,"CENTRALES DIATOMS, COUNT",414,cells/mL,6,3
08/01/2023 10:10,"CHROOCOCCUS SP., COUNT",427,cells/mL,6,3
08/01/2023 10:10,"COELASTRUM SP., COUNT",47,cells/mL,6,3
08/01/2023 10:10,"DINOBRYON SP., COUNT",448,cells/mL,6,3
08/01/2023 10:10,"FRAGILARIA SP., COUNT",26,cells/mL,6,3
08/01/2023 10:10,"GLOEOCYSTIS SP., COUNT",9,cells/mL,6,3
08/01/2023 10:10,"GOLENKINIA SP., COUNT",4,cells/mL,6,3
08/01/2023 10:10,"GYMNODINIUM SP., COUNT",26,cells/mL,6,3
08/01/2023 10:10,"KOMMA CAUDATA, COUNT",43,cells/mL,6,3
08/01/2023 10:10,"MICRACTINIUM SP., COUNT",30,cells/mL,6,3
08/01/2023 10:10,"OOCYSTIS SP., COUNT",26,cells/mL,6,3
08/01/2023 10:10,"PENNALES DIATOMS, COUNT",43,cells/mL,6,3
08/01/2023 10:10,"PLANKTOLYNGBYA SP., COUNT",108,cells/mL,6,3
08/01/2023 10:10,"SPHAEROCYSTIS SP., COUNT",129,cells/mL,6,3
08/01/2023 10:10,"TETRAEDRON SP., COUNT",13,cells/mL,6,3
08/01/2023 10:10,"UROSOLENIA SP., COUNT",86,cells/mL,6,3
08/01/2023 11:25,"ASTERIONELLA SP., COUNT",27,cells/mL,1,3
08/01/2023 11:25,"AULACOSEIRA SP., COUNT",51,cells/mL,1,3
08/01/2023 11:25,"CENTRALES DIATOMS, COUNT",160,cells/mL,1,3
08/01/2023 11:25,"CHLAMYDOMONAS SP., COUNT",78,cells/mL,1,3
08/01/2023 11:25,"COELASTRUM SP., COUNT",61,cells/mL,1,3
08/01/2023 11:25,"COSMARIUM SP., COUNT",27,cells/mL,1,3
08/01/2023 11:25,"CRUCIGENIA SP., COUNT",235,cells/mL,1,3
08/01/2023 11:25,"CRYPTOMONAS SP. 2, COUNT",3,cells/mL,1,3
08/01/2023 11:25,"CRYPTOMONAS SP., COUNT",17,cells/mL,1,3
08/01/2023 11:25,"DINOBRYON SP., COUNT",109,cells/mL,1,3
08/01/2023 11:25,"DYSMORPHOCOCCUS SP., COUNT",7,cells/mL,1,3
08/01/2023 11:25,"EUGLENA SP., COUNT",3,cells/mL,1,3
08/01/2023 11:25,"GLOEOCYSTIS SP., COUNT",34,cells/mL,1,3
08/01/2023 11:25,"GOLENKINIA SP., COUNT",3,cells/mL,1,3
08/01/2023 11:25,"GYMNODINIUM SP., COUNT",17,cells/mL,1,3
08/01/2023 11:25,"KOMMA CAUDATA, COUNT",136,cells/mL,1,3
08/01/2023 11:25,"PENNALES DIATOMS, COUNT",27,cells/mL,1,3
08/01/2023 11:25,"TETRAEDRON SP., COUNT",10,cells/mL,1,3
08/01/2023 11:25,"TRACHELOMONAS SP., COUNT",17,cells/mL,1,3
08/01/2023 11:25,"UROSOLENIA SP., COUNT",37,cells/mL,1,3
08/30/2023 09:58,"APHANOCAPSA SP., COUNT",290,cells/mL,14,4
08/30/2023 09:58,"APHANOTHECE SP., COUNT",430,cells/mL,14,4
08/30/2023 09:58,"ASTERIONELLA SP., COUNT",5,cells/mL,14,4
08/30/2023 09:58,"CENTRALES DIATOMS, COUNT",444,cells/mL,14,4
08/30/2023 09:58,"CHLAMYDOMONAS SP., COUNT",106,cells/mL,14,4
08/30/2023 09:58,"COSMARIUM SP., COUNT",24,cells/mL,14,4
08/30/2023 09:58,"CRUCIGENIA SP., COUNT",53,cells/mL,14,4
08/30/2023 09:58,"CRYPTOMONAS SP., COUNT",3,cells/mL,14,4
08/30/2023 09:58,"DICTYOSPHAERIUM SP., COUNT",26,cells/mL,14,4
08/30/2023 09:58,"DINOBRYON SP., COUNT",87,cells/mL,14,4
08/30/2023 09:58,"EUDORINA SP., COUNT",140,cells/mL,14,4
08/30/2023 09:58,"GLOEOCYSTIS SP., COUNT",16,cells/mL,14,4
08/30/2023 09:58,"KOMMA CAUDATA, COUNT",42,cells/mL,14,4
08/30/2023 09:58,"MALLOMONAS SP., COUNT",5,cells/mL,14,4
08/30/2023 09:58,"OOCYSTIS SP., COUNT",11,cells/mL,14,4
08/30/2023 09:58,"PENNALES DIATOMS, COUNT",3,cells/mL,14,4
08/30/2023 09:58,"TETRAEDRON SP., COUNT",24,cells/mL,14,4
08/30/2023 09:58,"UROSOLENIA SP., COUNT",11,cells/mL,14,4
08/30/2023 10:28,"APHANOCAPSA SP., COUNT",412,cells/mL,9,4
08/30/2023 10:28,"APHANOTHECE SP., COUNT",328,cells/mL,9,4
08/30/2023 10:28,"ASTERIONELLA SP., COUNT",3,cells/mL,9,4
08/30/2023 10:28,"CENTRALES DIATOMS, COUNT",535,cells/mL,9,4
08/30/2023 10:28,"CHLAMYDOMONAS SP., COUNT",129,cells/mL,9,4
08/30/2023 10:28,"COSMARIUM SP., COUNT",10,cells/mL,9,4
08/30/2023 10:28,"CRUCIGENIA SP., COUNT",210,cells/mL,9,4
08/30/2023 10:28,"CRYPTOMONAS SP., COUNT",3,cells/mL,9,4
08/30/2023 10:28,"DINOBRYON SP., COUNT",94,cells/mL,9,4
08/30/2023 10:28,"GLOEOCYSTIS SP., COUNT",126,cells/mL,9,4
08/30/2023 10:28,"GOLENKINIA SP., COUNT",3,cells/mL,9,4
08/30/2023 10:28,"KOMMA CAUDATA, COUNT",56,cells/mL,9,4
08/30/2023 10:28,"OOCYSTIS SP., COUNT",3,cells/mL,9,4
08/30/2023 10:28,"PENNALES DIATOMS, COUNT",38,cells/mL,9,4
08/30/2023 10:28,"QUADRIGULA SP., COUNT",10,cells/mL,9,4
08/30/2023 10:28,"SCENEDESMUS SP., COUNT",3,cells/mL,9,4
08/30/2023 10:28,"TETRAEDRON SP., COUNT",35,cells/mL,9,4
08/30/2023 10:28,"UROSOLENIA SP., COUNT",28,cells/mL,9,4
08/30/2023 11:30,"APHANOCAPSA SP., COUNT",995,cells/mL,8,4
08/30/2023 11:30,"APHANOTHECE SP., COUNT",1754,cells/mL,8,4
08/30/2023 11:30,"AULACOSEIRA SP., COUNT",31,cells/mL,8,4
08/30/2023 11:30,"CENTRALES DIATOMS, COUNT",1175,cells/mL,8,4
08/30/2023 11:30,"CHLAMYDOMONAS SP., COUNT",164,cells/mL,8,4
08/30/2023 11:30,"COSMARIUM SP., COUNT",31,cells/mL,8,4
08/30/2023 11:30,"CRUCIGENIA SP., COUNT",31,cells/mL,8,4
08/30/2023 11:30,"CRYPTOMONAS SP., COUNT",8,cells/mL,8,4
08/30/2023 11:30,"CYMBELLA SP., COUNT",16,cells/mL,8,4
08/30/2023 11:30,"DINOBRYON SP., COUNT",70,cells/mL,8,4
08/30/2023 11:30,"KOMMA CAUDATA, COUNT",478,cells/mL,8,4
08/30/2023 11:30,"OOCYSTIS SP., COUNT",70,cells/mL,8,4
08/30/2023 11:30,"PENNALES DIATOMS, COUNT",298,cells/mL,8,4
08/30/2023 11:30,"PERIDINIUM SP., COUNT",8,cells/mL,8,4
08/30/2023 11:30,"QUADRIGULA SP., COUNT",39,cells/mL,8,4
08/30/2023 11:30,"TETRAEDRON SP., COUNT",47,cells/mL,8,4
08/30/2023 11:30,"TRACHELOMONAS SP., COUNT",8,cells/mL,8,4
08/30/2023 12:08,"APHANOCAPSA SP., COUNT",1678,cells/mL,6,4
08/30/2023 12:08,"AULACOSEIRA SP., COUNT",59,cells/mL,6,4
08/30/2023 12:08,"CENTRALES DIATOMS, COUNT",806,cells/mL,6,4
08/30/2023 12:08,"CHLAMYDOMONAS SP., COUNT",564,cells/mL,6,4
08/30/2023 12:08,"COSMARIUM SP., COUNT",15,cells/mL,6,4
08/30/2023 12:08,"CRYPTOMONAS SP., COUNT",7,cells/mL,6,4
08/30/2023 12:08,"DINOBRYON SP., COUNT",95,cells/mL,6,4
08/30/2023 12:08,"EUGLENA SP., COUNT",7,cells/mL,6,4
08/30/2023 12:08,"KOMMA CAUDATA, COUNT",549,cells/mL,6,4
08/30/2023 12:08,"PENNALES DIATOMS, COUNT",125,cells/mL,6,4
08/30/2023 12:08,"QUADRIGULA SP., COUNT",22,cells/mL,6,4
08/30/2023 12:08,"TETRAEDRON SP., COUNT",37,cells/mL,6,4
08/30/2023 12:08,"UROSOLENIA SP., COUNT",15,cells/mL,6,4
08/30/2023 12:50,"ANKISTRODESMUS SP., COUNT",467,cells/mL,3,4
08/30/2023 12:50,"CENTRALES DIATOMS, COUNT",328,cells/mL,3,4
08/30/2023 12:50,"CHLAMYDOMONAS SP., COUNT",1072,cells/mL,3,4
08/30/2023 12:50,"COSMARIUM SP., COUNT",13,cells/mL,3,4
08/30/2023 12:50,"DINOBRYON SP., COUNT",896,cells/mL,3,4
08/30/2023 12:50,"KOMMA CAUDATA, COUNT",984,cells/mL,3,4
08/30/2023 12:50,"NAVICULA SP., COUNT",13,cells/mL,3,4
08/30/2023 12:50,"PENNALES DIATOMS, COUNT",25,cells/mL,3,4
08/30/2023 12:50,"PERIDINIUM SP., COUNT",13,cells/mL,3,4
